GENDER,FEMALE
PRIMARY SITE,Central nervous system
HISTOLOGY,Glioma
HISTOLOGIC SUBTYPE,Astrocytoma grade iv
RADIATION AUC,3.777
IC50 DRUG Doxorubicin [uM],0.22119447213374419
IC50 DRUG Etoposide [uM],8.89267585234484
IC50 DRUG Gemcitabine [uM],190.1777193539482
IC50 DRUG Mitomycin C [uM],0.588155447220965
IC50 DRUG Vinorelbine [uM],0.1933836962864773
IC50 DRUG NSC-87877 [uM],48.134010199104104
IC50 DRUG Bicalutamide [uM],121.39782955427904
IC50 DRUG QS11 [uM],156.5051630232611
IC50 DRUG CP466722 [uM],21.862547215514535
IC50 DRUG Midostaurin [uM],3.148323220004492
IC50 DRUG CHIR-99021 [uM],11.038829371095941
IC50 DRUG Ponatinib [uM],1.1617540789312177
IC50 DRUG AZD6482 [uM],14.684433689026045
IC50 DRUG JNK-9L [uM],1.979325242481538
IC50 DRUG PF-562271 [uM],6.92108811970381
IC50 DRUG HG6-64-1 [uM],3.009870335722947
IC50 DRUG JQ1 [uM],13.212799250706972
IC50 DRUG JQ12 [uM],6.4124152882482495
IC50 DRUG DMOG [uM],154.30528341979885
IC50 DRUG FTI-277 [uM],9.753039694889498
IC50 DRUG OSU-03012 [uM],12.06172239591722
IC50 DRUG Shikonin [uM],0.7440589599829757
IC50 DRUG AKT inhibitor VIII [uM],24.590077305472505
IC50 DRUG Embelin [uM],11.7595773241432
IC50 DRUG FH535 [uM],5.28852299557989
IC50 DRUG PAC-1 [uM],30.892733671870882
IC50 DRUG IPA-3 [uM],37.92334934140086
IC50 DRUG GSK650394 [uM],61.88692935733062
IC50 DRUG BAY-61-3606 [uM],14.365090608510815
IC50 DRUG Fluorouracil [uM],1811.9520069110902
IC50 DRUG Thapsigargin [uM],0.023109349571174345
IC50 DRUG Obatoclax [uM],6.776766020293738
IC50 DRUG BMS-754807 [uM],3.7373133587062943
IC50 DRUG Linsitinib [uM],59.9924667396303
IC50 DRUG Bexarotene [uM],59.3432866450636
IC50 DRUG Bleomycin [uM],24.916743320350974
IC50 DRUG LFM-A13 [uM],143.63839564239362
IC50 DRUG GW-2580 [uM],404.90197468668214
IC50 DRUG Luminespib [uM],0.14131384656530738
IC50 DRUG Phenformin [uM],3535.57774280763
IC50 DRUG Bryostatin 1 [uM],0.02934371192866879
IC50 DRUG Pazopanib [uM],39.83444538783505
IC50 DRUG Dacinostat [uM],0.049877314441832965
