GENE,ENVISION
SLC6A7,0.844731
ACVR1C,0.742353
SLC7A9,0.943003
HSPG2,0.956810
SLC2A10,0.840755
PGLYRP3,0.801864
GAL3ST1,0.766347
SLCO1B3,0.758012
SLC2A2,0.789226
SLC5A8,0.993282
ASS1,0.616980
DUSP27,0.830343
ACSM1,0.715536
TKTL1,0.815602
BARD1,1.016650
SLC38A2,0.864891
ABCB1,0.744684
PFKM,0.847794
GUCY1A2,0.948962
CYP27B1,0.831873
ACOT12,0.880076
PFAS,0.979025
PLCB2,0.616961
ALDH3A1,0.865812
HS6ST2,0.868434
FMO4,0.975352
ST3GAL4,0.725720
SLC7A11,0.973030
HERC1,0.992319
PIK3C2B,0.736709
USP10,0.766904
GGT7,0.757322
MYO5B,0.851929
HEPH,0.913512
NOX1,0.775581
PTK2B,0.942016
FDPS,0.843197
LRP1,0.719785
SLC17A4,0.965389
ADCY8,0.911693
AMFR,0.850863
SLC22A11,0.854817
BTD,0.801681
PXDN,0.804099
ATP6V0A2,1.028450
STARD3,0.906250
PPCS,0.918685
