GENE,ENVISION
EPHX1,0.960428
TGM4,0.789423
SLC25A19,0.851330
BIRC6,0.853028
HSPG2,0.864148
USP4,0.858485
NADSYN1,0.957606
SLC4A1,0.541857
DMGDH,0.898679
SLC5A6,0.959483
GTF3C4,1.017620
FH,0.926709
USP25,0.789861
SLC25A13,0.972139
NEURL1B,0.896867
NCOA1,0.832360
CERS3,1.005760
AHCYL2,0.942825
MGAM,0.756688
IPMK,0.906360
NDST4,0.859873
POLD1,0.806209
CDC42BPA,0.942408
CHST6,0.865389
EYA1,1.009490
SPTLC3,0.776599
TTN,0.722953
CYP3A43,0.813998
TRIO,0.777866
FLAD1,0.940300
GLIPR1,0.911328
SLC24A2,0.856805
MYLK2,0.654089
CES1,1.042010
ABCB11,0.944500
UBA3,0.854838
ADSSL1,1.007830
ST6GALNAC4,0.792561
STK17B,0.963204
GARS,0.739231
ADCY1,0.988094
CHST13,0.864744
PTPRT,0.977624
ITK,0.949326
ADCY3,0.848992
DAPK3,0.903252
PXDNL,0.892631
GSTM4,0.913374
MAP3K10,0.949797
PLTP,0.954288
PTPRM,0.709763
SLC19A2,0.903884
