GENE,ENVISION
CD38,0.763392
GSR,0.920109
TUSC3,0.960070
PPP2R3A,0.915871
AGXT2,0.952335
MARCH3,1.011920
DUSP27,0.955488
HUWE1,0.953624
LGSN,0.960988
AHCYL2,0.638030
SLC28A1,0.937869
PDPR,0.857184
FGR,0.961962
CSNK1D,0.809274
DMPK,0.739605
GOT1,0.976314
FMO2,0.839323
SLC2A14,0.742316
WNK2,0.978755
HAGHL,0.797467
PHGDH,0.732259
UBR1,0.656654
USP36,0.999576
CTSW,0.996696
MLYCD,0.969935
DZIP3,1.018490
SLC2A6,0.720434
PARP14,0.723276
RBBP6,0.895146
PTPN14,0.959475
PTPN11,0.883079
MAPKAPK2,0.993482
LRRK1,0.861556
SLC9A2,0.851564
NEK1,0.760731
USP45,0.855098
UBE3A,0.676660
SLC5A12,0.977197
NPC1,0.842757
CDC42BPG,0.906829
TTN,0.621213
EPHB2,0.843393
PLCB2,0.731326
TMEM91,0.939149
PARP1,0.876387
PHKA2,0.993131
ABCB11,0.847416
HERC2,0.714103
UBA2,0.801941
PHEX,1.020460
STK32A,0.766082
RPS6KA5,0.855094
TAF1,0.857578
CPS1,0.799632
MAOB,0.804822
TK2,1.021570
UBE2U,0.832683
CREBBP,0.622810
ATM,0.892316
SMS,0.805184
TNIK,0.880418
ATR,0.946427
ME3,1.077200
ABL2,0.316744
NCOA1,0.790414
NCOA6,0.949768
BMP2K,0.826753
SLC36A1,0.938707
FASN,0.898302
DOT1L,0.989917
SLCO4A1,0.764959
SLC6A14,0.974709
SRC,0.650544
GBGT1,0.961571
SH3RF3,0.886778
NAT2,0.804138
ENOPH1,0.798030
BRSK2,0.975098
AMFR,0.802977
ALDH7A1,0.879337
PTPRS,0.902718
FADS2,0.797961
DUSP6,1.007680
DLST,0.997624
EIF2AK4,0.982610
ABCA1,0.978706
XYLB,0.973844
ABCA8,0.837404
DHFR,0.860438
CKMT1B,0.986291
PLCG1,0.719288
UST,0.909538
CARNS1,0.771276
LOXL2,0.918863
PTPN21,0.753821
IDH3G,0.936063
PDE1B,0.954246
CHIT1,0.928778
DAO,1.007950
ABCB4,0.930681
EYA3,0.858679
NOS3,1.005370
CNP,0.853475
PRKCE,0.765477
SLC24A3,0.904210
ABCC11,0.599249
CYP7B1,0.992098
CA8,0.663649
RNF167,0.945347
ABCC8,0.776254
PTPRA,0.976569
CDK13,0.910604
CHPF,0.933866
FUT9,0.985604
