GENE,ENVISION
HUWE1,0.757477
CHSY3,0.903517
DOLPP1,0.752156
USP31,0.816982
PI4K2A,0.844082
DUSP21,0.797335
LGSN,0.940873
AHCYL2,0.949502
HIF1AN,0.972408
MAP3K1,0.841735
MAP3K5,0.918122
MAP3K3,1.016260
NAAA,0.903266
WNK2,0.950407
UBE2R2,0.956065
PASK,0.997958
SSH2,0.787336
UBR2,0.968525
USP32,0.868434
IP6K3,0.915426
IP6K2,0.766247
UBR4,0.856328
LMTK2,0.863139
PTPN11,0.581168
AK3,0.795639
BMPR2,0.882433
SPEG,0.880655
NSDHL,0.965288
HSPG2,0.983184
ALG6,1.062560
SLC7A3,0.946022
USP26,0.826077
MAPKAPK3,0.873385
SMURF1,0.612461
LRRK1,0.939625
NEK1,0.985997
USP41,0.930470
TTN,0.418377
CDC42BPB,0.927046
PLCB2,0.817101
TICRR,0.866990
PARP4,0.943888
DUPD1,0.836913
RNF41,0.947686
SBK1,0.936442
GALNT2,0.842264
KDSR,0.760407
UBE2O,0.905952
ARG2,0.764506
B3GNT3,0.819555
GLB1L,0.814638
RNF125,0.781997
LCLAT1,0.802427
UGT2A3,0.769115
NAGPA,0.780535
MBOAT1,0.920476
ME3,0.727329
GAD2,0.785298
NCOA2,0.905811
EHMT2,0.975882
SLC10A6,0.903806
SLC36A1,0.982422
PDE3B,0.860865
SDR9C7,0.976259
SLC6A13,0.919352
DUSP6,0.932905
SLC20A2,0.981923
DUOX2,0.901773
SHPK,0.919096
SH3RF1,0.865323
PLCL2,1.007950
NOL9,0.951404
SLC40A1,0.970217
SLC17A4,0.846016
NPC1L1,0.980044
AGPAT9,0.943716
COLGALT2,0.815467
AOX1,0.792289
HS3ST5,0.522199
PTK2,0.854455
BIRC6,0.835981
AACS,0.980178
AWAT1,0.956418
ACER1,0.965809
PFKP,0.946176
AURKC,1.015750
DNMT3B,0.872101
NEK6,0.869306
KCNJ11,0.849068
PRKCD,0.853551
YARS2,0.915868
MAN1C1,0.801447
MGAT5,0.752854
PRKCQ,1.009800
DUSP10,0.865231
CHST11,1.015520
CHST12,0.887065
CYP4A11,1.063830
CHST14,0.925786
SLC7A10,1.037090
MAP3K14,0.836043
KAT6B,0.837227
ABCC2,0.792466
