GENE,ENVISION
COLGALT2,0.769387
TGM3,0.940842
CAMK1D,0.795059
ENPP7,0.982404
WWP1,0.833528
AMPD2,0.983656
CHPF2,0.848698
HSPG2,0.778646
MGLL,0.871503
PKMYT1,1.056620
SLC27A5,0.772397
MOCS1,0.991711
DYRK2,0.857831
PI4K2A,0.719785
USP26,0.991828
MAPKAPK5,0.943380
GUCY1B3,0.814654
SLC25A11,0.953039
TICRR,0.938012
MTHFD2L,0.900283
EHMT2,0.861177
LPIN3,0.985055
SLC2A6,0.833716
HKDC1,0.856204
ACSM3,0.740599
NEK5,0.825028
SLC36A1,0.942208
MAP3K5,0.996027
DPYS,0.973920
PNPLA2,0.810488
TTN,0.690716
SLC2A13,0.709904
GLTP,0.867231
DGKB,0.808101
TRPM6,0.769387
SRPK2,0.770409
AASDH,0.873180
PTPMT1,0.992758
PHKG1,0.970622
KMT2B,0.900061
CPT1C,0.849796
SLC7A5,1.008490
PLCB4,0.782862
ENTPD2,0.916272
LRSAM1,0.958825
PDE4C,0.822546
SLC25A2,0.744925
SLC13A2,0.917079
PKN2,0.826942
GMPPA,0.857744
LOXL2,0.735183
PGM2,0.911674
PPP2R2B,0.730561
GALE,0.778230
PADI3,0.857219
PRKCZ,0.766044
TRPM7,0.916768
MIA3,0.747835
TMX3,1.015100
USP31,1.056320
SETD2,0.866013
TESK1,0.967070
UBR4,0.810468
PNPLA8,0.819835
PTPRS,0.860577
HELZ2,0.979658
SLC13A4,0.870921
CYP8B1,0.819529
SNRK,0.825089
PTK2B,0.785534
SLC22A10,0.833979
PTPRJ,0.755908
WNK4,0.842424
SLC2A11,0.786123
ABCC8,0.808170
ELOVL3,0.820456
ELOVL1,0.887457
COQ7,0.991156
MINPP1,1.000070
NEU1,0.861932
