GENE,ENVISION
ACVR1C,0.701925
SLC7A9,0.867542
PLCB3,0.728056
SLC2A12,0.794710
BMP2K,0.851330
MAPK14,0.798232
GCNT4,0.748762
MBOAT1,0.956560
SLC29A4,0.907557
USP26,0.782799
ACSF2,1.016040
PYCR2,0.910458
PNKP,0.976636
PTPN23,0.980333
ST6GALNAC4,0.996538
SMG1,0.970325
PTK7,0.936137
HKDC1,0.981993
A4GNT,0.861925
PIGU,0.896528
PEAK1,0.875963
MIB1,0.889505
UHMK1,0.931978
MAP3K4,0.916190
PDE10A,0.976007
SLC34A1,0.967195
PLCH1,0.769342
TTN,0.706740
PRKG2,0.822778
PLA2G4F,0.741642
CSGALNACT1,0.769810
AASDH,0.935677
SGPP2,0.863612
PHKG1,0.825523
PLA2G3,1.008970
ICK,0.990861
SIRT2,0.877133
DECR1,0.833976
PIKFYVE,0.948052
CAMK2D,0.988975
SLC13A2,0.950809
PKN2,0.891742
HERC1,0.980172
PAN2,0.943229
AMFR,0.974344
L2HGDH,0.886022
MGAT5,0.761650
PIGV,0.825028
SLC15A2,0.812373
SDSL,0.829474
NCOA6,0.920316
SETD2,0.817061
SETD5,0.899945
MCCC2,0.882541
UBR4,0.774936
LRP2,0.769342
EZH1,0.871160
LRP1,0.646611
INPP5D,0.768623
ALK,0.947024
ABCC11,1.013210
SLC22A16,0.941304
UGGT2,0.832524
SUCLA2,0.860622
MKRN3,0.856524
CDC14A,0.860291
RBBP6,0.766111
CAMKK2,0.951648
MAP3K12,0.806397
SLC22A7,0.814600
ACO2,0.638299
MYBBP1A,0.977482
NSD1,0.897468
ATP6V1C2,0.844628
CMTR1,0.843692
RNF216,0.944950
HACD4,0.843177
PRKD1,0.972234
SSH3,0.758012
