GENE,ENVISION
AOX1,0.966575
PTK7,0.782862
B4GALNT3,0.743605
EPHA7,0.769009
HUWE1,0.761455
PRKCQ,0.859799
SLCO1B3,1.008260
PLCE1,0.985584
ATP11A,0.777772
USP42,0.915141
MAP3K9,0.758813
NCOA6,0.849137
FKBP11,0.906586
CPA5,0.911016
TTN,0.504238
MTMR7,0.982404
ACOT12,0.965764
BCO1,1.017460
CPT1B,0.995410
HECW2,0.854838
ERBB4,0.985911
MYO5B,0.872620
SLC15A2,0.754663
CYP4X1,0.976688
ACMSD,0.599149
TAOK2,0.813133
LRP2,0.917134
GALNT12,0.834185
ITK,0.459730
ABCG8,1.019980
KL,0.792474
PDK4,0.843373
STK36,0.898416
MTRR,0.964319
SPEG,0.977342
PTPRK,0.940678
