#id: 229
#name: H.sapiens - Spinal cord, SC (Kim,Nature,2014)
#score: 14.27
#weight: 100%
#description: abundance based on Spectral counting, from<a href="http://www.nature.com/nature/journal/v509/n7502/full/nature13302.html" target="_blank">Kim,Nature,2014</a><br/><b>Interaction consistency score</b>: 14.27&nbsp<b>Coverage</b>: 35
#organ: SPINAL_CORD
#integrated: false
#coverage: 35
#publication_year: 2014
#filename: 9606-Adult_Spinalcord_Kim_2014_SEQUEST.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
1845522	9606.ENSP00000264316	0.073	2
1858332	9606.ENSP00000379140	40.9	5
1860688	9606.ENSP00000407818	9.7	4
1848008	9606.ENSP00000298942	14.7	4
1854105	9606.ENSP00000354340	91.6	24
1854401	9606.ENSP00000355536	10.1	10
1859255	9606.ENSP00000387262	352	186
1849725	9606.ENSP00000314649	240	80
1858088	9606.ENSP00000376957	0.346	1
1845214	9606.ENSP00000262776	165	73
1858345	9606.ENSP00000379228	1.22	1
1858958	9606.ENSP00000384582	0.266	1
1857417	9606.ENSP00000371110	5.19	2
1845250	9606.ENSP00000262948	116	37
1845766	9606.ENSP00000265529	1.72	2
1851357	9606.ENSP00000331544	148	58
1861684	9606.ENSP00000426528	27.5	7
1856306	9606.ENSP00000364620	1.27	5
1849473	9606.ENSP00000311876	261	66
1861872	9606.ENSP00000431376	18.3	3
1848483	9606.ENSP00000303057	24.3	19
1861640	9606.ENSP00000424838	0.903	3
1843581	9606.ENSP00000240874	0.658	7
1849947	9606.ENSP00000317310	7.7	2
1844794	9606.ENSP00000260453	0.096	1
1842802	9606.ENSP00000220809	3.05	3
1842898	9606.ENSP00000222256	119	34
1852023	9606.ENSP00000337641	27.5	11
1846146	9606.ENSP00000270310	37.6	1
1848955	9606.ENSP00000307423	0.233	1
1851354	9606.ENSP00000331514	4086	2586
1854214	9606.ENSP00000354774	5.22	1
1861677	9606.ENSP00000426159	3.24	1
1842608	9606.ENSP00000216500	128	25
1859702	9606.ENSP00000393241	293	28
1843745	9606.ENSP00000245046	15.1	3
1854397	9606.ENSP00000355518	372	93
1842120	9606.ENSP00000003302	1.14	6
1857946	9606.ENSP00000375629	0.72	1
1850030	9606.ENSP00000318227	1.13	1
1856652	9606.ENSP00000366488	6.08	12
1857007	9606.ENSP00000368605	46.3	21
1854822	9606.ENSP00000357555	285	19
1857831	9606.ENSP00000374205	0.955	3
1842302	9606.ENSP00000168148	27.7	4
1855673	9606.ENSP00000361475	70.9	12
1843986	9606.ENSP00000250024	0.307	1
1850867	9606.ENSP00000326804	90.2	55
1853463	9606.ENSP00000349577	92.2	37
1843731	9606.ENSP00000244661	228	137
1855958	9606.ENSP00000362751	56.6	34
1845897	9606.ENSP00000266718	844	204
1846130	9606.ENSP00000270115	0.123	1
1857035	9606.ENSP00000368767	84.9	32
1855394	9606.ENSP00000360104	35.3	2
1847771	9606.ENSP00000296666	14.9	3
1848820	9606.ENSP00000306223	19.0	10
1853991	9606.ENSP00000353508	41.6	46
1853770	9606.ENSP00000351811	1.59	1
1846450	9606.ENSP00000275605	26.3	6
1842626	9606.ENSP00000216840	90.9	40
1854785	9606.ENSP00000357342	0.442	1
1854175	9606.ENSP00000354632	833	25
1854866	9606.ENSP00000357739	4.62	2
1861438	9606.ENSP00000419751	2.01	1
1842785	9606.ENSP00000220496	11.6	2
1862815	9606.ENSP00000452773	15.0	1
1848850	9606.ENSP00000306496	9.14	3
1855873	9606.ENSP00000362387	112	15
1845278	9606.ENSP00000263083	0.218	1
1853021	9606.ENSP00000346148	69.2	24
1859754	9606.ENSP00000393876	0.079	1
1852518	9606.ENSP00000341885	180	40
1846561	9606.ENSP00000278360	0.98	1
1852286	9606.ENSP00000340088	2.96	4
1843354	9606.ENSP00000233596	25.0	2
1847322	9606.ENSP00000291971	0.093	2
1856125	9606.ENSP00000363603	14.8	4
1854828	9606.ENSP00000357583	12.6	5
1853315	9606.ENSP00000348565	37.5	6
1848973	9606.ENSP00000307599	0.471	2
1846628	9606.ENSP00000279281	26.8	14
1850484	9606.ENSP00000322802	5.27	1
1856749	9606.ENSP00000366995	2.25	2
1862037	9606.ENSP00000436580	3.8	1
1843363	9606.ENSP00000233710	22.5	5
1857507	9606.ENSP00000371734	6.06	7
1861786	9606.ENSP00000429301	192	25
1858373	9606.ENSP00000379496	9.81	8
1844622	9606.ENSP00000258646	9.76	3
1850638	9606.ENSP00000324403	4.42	5
1846649	9606.ENSP00000280082	0.183	1
1858158	9606.ENSP00000377640	118	8
1853986	9606.ENSP00000353472	0.963	1
1846752	9606.ENSP00000281924	5.69	1
1849731	9606.ENSP00000314776	58.1	26
1847187	9606.ENSP00000289779	9.99	2
1843701	9606.ENSP00000244137	130	35
1852186	9606.ENSP00000339191	184	23
1857357	9606.ENSP00000370671	1.57	1
1851525	9606.ENSP00000332816	2.09	2
1849409	9606.ENSP00000311344	37.0	37
1848457	9606.ENSP00000302833	49.0	10
1843488	9606.ENSP00000238561	4.37	1
1844375	9606.ENSP00000255390	45.8	6
1860397	9606.ENSP00000403310	4.74	2
1857533	9606.ENSP00000371905	36.1	8
1851070	9606.ENSP00000328729	31.3	4
1858188	9606.ENSP00000377892	14.3	1
1847997	9606.ENSP00000298841	13.0	5
1855510	9606.ENSP00000360642	52.7	19
1861869	9606.ENSP00000431284	5.89	1
1856415	9606.ENSP00000365152	4.13	8
1850267	9606.ENSP00000320646	3.58	1
1856636	9606.ENSP00000366395	0.222	1
1845400	9606.ENSP00000263710	24.8	32
1851891	9606.ENSP00000336524	0.796	8
1845020	9606.ENSP00000261890	97.6	34
1843673	9606.ENSP00000243563	18.3	5
1856985	9606.ENSP00000368439	4.6	2
1855149	9606.ENSP00000358997	4.52	3
1857228	9606.ENSP00000369853	31.3	11
1846374	9606.ENSP00000274311	33.3	8
1846723	9606.ENSP00000281419	6.18	5
1846276	9606.ENSP00000272732	17.2	5
1846136	9606.ENSP00000270202	6.17	3
1856989	9606.ENSP00000368468	3.5	1
1860210	9606.ENSP00000400175	930	151
1860539	9606.ENSP00000405600	5.34	4
1850791	9606.ENSP00000326022	4.96	1
1860721	9606.ENSP00000408464	1.07	2
1851212	9606.ENSP00000330060	1.47	1
1845855	9606.ENSP00000266085	156	24
1854013	9606.ENSP00000353656	8.26	7
1845007	9606.ENSP00000261854	7.75	5
1848472	9606.ENSP00000302935	1.1	1
1849862	9606.ENSP00000316329	80.9	12
1861658	9606.ENSP00000425556	9.29	7
1854351	9606.ENSP00000355317	0.391	3
1842601	9606.ENSP00000216468	6.97	1
1858290	9606.ENSP00000378735	68.4	46
1862423	9606.ENSP00000447537	22.2	3
1862615	9606.ENSP00000449535	72.6	28
1851999	9606.ENSP00000337445	1.7	1
1856600	9606.ENSP00000366246	9.67	5
1853731	9606.ENSP00000351552	0.908	1
1845219	9606.ENSP00000262812	94.5	15
1860805	9606.ENSP00000409667	125	138
1850655	9606.ENSP00000324560	0.566	1
1842801	9606.ENSP00000220772	4.17	1
1856891	9606.ENSP00000367817	6.52	3
1859629	9606.ENSP00000392262	9.0	2
1842663	9606.ENSP00000217407	50.7	12
1842894	9606.ENSP00000222247	204	19
1847229	9606.ENSP00000290390	3.04	9
1853096	9606.ENSP00000346827	569	195
1860177	9606.ENSP00000399696	2.01	1
1853711	9606.ENSP00000351410	248	60
1843414	9606.ENSP00000234831	0.592	3
1854062	9606.ENSP00000354003	36.9	1
1843832	9606.ENSP00000246747	103	13
1863848	9606.ENSP00000464036	0.918	1
1852406	9606.ENSP00000341044	1.87	7
1856298	9606.ENSP00000364589	41.9	31
1844117	9606.ENSP00000252321	2.47	4
1852763	9606.ENSP00000344012	10.7	2
1843753	9606.ENSP00000245304	112	27
1846243	9606.ENSP00000272298	224	56
1846563	9606.ENSP00000278407	283	91
1856140	9606.ENSP00000363676	89.2	13
1863044	9606.ENSP00000456434	26.2	4
1854640	9606.ENSP00000356621	2.23	3
1846437	9606.ENSP00000275233	2.13	6
1861258	9606.ENSP00000417038	4.19	1
1848020	9606.ENSP00000299140	1.6	1
1861633	9606.ENSP00000424707	31.0	2
1853342	9606.ENSP00000348757	1.62	10
1857354	9606.ENSP00000370648	46.6	11
1842671	9606.ENSP00000217456	151	39
1842459	9606.ENSP00000210187	2.4	5
1843445	9606.ENSP00000236959	228	109
1846175	9606.ENSP00000270776	509	154
1857476	9606.ENSP00000371512	0.536	1
1854384	9606.ENSP00000355465	0.012	2
1855585	9606.ENSP00000361014	0.108	1
1854942	9606.ENSP00000358060	1.14	1
1844799	9606.ENSP00000260563	83.2	19
1848600	9606.ENSP00000304102	234	36
1851424	9606.ENSP00000332062	0.561	1
1846257	9606.ENSP00000272427	18.9	14
1853007	9606.ENSP00000346045	71.2	10
1863911	9606.ENSP00000465194	30.3	3
1843357	9606.ENSP00000233616	23.4	12
1849197	9606.ENSP00000309565	15.5	1
1857780	9606.ENSP00000373637	7.18	2
1863004	9606.ENSP00000455908	20.7	29
