#id: 139
#name: H.sapiens - Kidney, SC (PeptideAtlas,Aug,2013)
#score: 8.35
#weight: 100%
#description: abundance based on Spectral counting, from<a href="http://www.peptideatlas.org/builds/" target="_blank">PeptideAtlas,Aug,2013</a><br/><b>Interaction consistency score</b>: 8.35&nbsp<b>Coverage</b>: 21
#organ: KIDNEY
#integrated: false
#coverage: 21
#publication_year: 2013
#filename: 9606-PA_kidney_201308.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
1844052	9606.ENSP00000251337	6.78	88
1855148	9606.ENSP00000358994	61.6	144
1860688	9606.ENSP00000407818	0.891	3
1844198	9606.ENSP00000253108	17.7	13
1858123	9606.ENSP00000377374	29.3	19
1859255	9606.ENSP00000387262	520	802
1842302	9606.ENSP00000168148	13.0	8
1851969	9606.ENSP00000337168	2.99	12
1843135	9606.ENSP00000228284	6.05	16
1851610	9606.ENSP00000333664	300	337
1855169	9606.ENSP00000359085	0.913	1
1845053	9606.ENSP00000262061	65.7	26
1845638	9606.ENSP00000264895	0.245	3
1852518	9606.ENSP00000341885	131	86
1854706	9606.ENSP00000356988	23.3	22
1855521	9606.ENSP00000360687	103	40
1849731	9606.ENSP00000314776	17.8	26
1850586	9606.ENSP00000323856	320	3190
1861976	9606.ENSP00000434593	5.0	3
1846003	9606.ENSP00000268182	141	492
1859424	9606.ENSP00000389414	1.57	3
1845747	9606.ENSP00000265417	8.06	25
1861640	9606.ENSP00000424838	0.124	2
1845339	9606.ENSP00000263368	665	333
1862475	9606.ENSP00000448035	24.0	38
1854830	9606.ENSP00000357588	7.56	6
1843128	9606.ENSP00000227868	16.2	13
1853711	9606.ENSP00000351410	32.3	24
1842898	9606.ENSP00000222256	7.64	134
1852023	9606.ENSP00000337641	4.62	7
1856140	9606.ENSP00000363676	150	48
1851354	9606.ENSP00000331514	15582	41012
1844318	9606.ENSP00000254730	6.48	12
1854214	9606.ENSP00000354774	10.2	6
1853007	9606.ENSP00000346045	29.3	16
1842608	9606.ENSP00000216500	20.2	18
1858619	9606.ENSP00000381565	1.12	4
1853670	9606.ENSP00000351108	242	107
1842673	9606.ENSP00000217652	657	774
1859798	9606.ENSP00000394405	8.82	6
1854397	9606.ENSP00000355518	802	799
