#id: 310
#name: H.sapiens - Placenta (Integrated)
#score: 12.99
#weight: 
#description: integrated dataset: weighted average of all H.sapiens PLACENTA datasets<br/><b>Interaction consistency score</b>: 12.99&nbsp<b>Coverage</b>: 30
#organ: PLACENTA
#integrated : true
#coverage: 30
#publication_year: 2017
#filename: 9606-PLACENTA-integrated.txt
#
#internal_id	string_external_id	abundance
1848483	9606.ENSP00000303057	194
1848008	9606.ENSP00000298942	33.7
1859255	9606.ENSP00000387262	381
1845214	9606.ENSP00000262776	154
1858958	9606.ENSP00000384582	0.002
1863089	9606.ENSP00000457016	0.016
1852518	9606.ENSP00000341885	378
1847788	9606.ENSP00000296785	2.63
1849473	9606.ENSP00000311876	104
1860688	9606.ENSP00000407818	2.98
1861640	9606.ENSP00000424838	1.02
1852226	9606.ENSP00000339521	500
1848692	9606.ENSP00000304987	0.327
1842898	9606.ENSP00000222256	22.7
1852023	9606.ENSP00000337641	32.0
1848955	9606.ENSP00000307423	7.23
1851354	9606.ENSP00000331514	3618
1854214	9606.ENSP00000354774	57.4
1853007	9606.ENSP00000346045	675
1842608	9606.ENSP00000216500	186
1859702	9606.ENSP00000393241	945
1848351	9606.ENSP00000301920	0.989
1843745	9606.ENSP00000245046	144
1854397	9606.ENSP00000355518	347
1842120	9606.ENSP00000003302	0.002
1850504	9606.ENSP00000323036	4.3
1856652	9606.ENSP00000366488	87.6
1857007	9606.ENSP00000368605	70.2
1854822	9606.ENSP00000357555	168
1857831	9606.ENSP00000374205	1.47
1842302	9606.ENSP00000168148	5.48
1855673	9606.ENSP00000361475	1.47
1850867	9606.ENSP00000326804	41.4
1853222	9606.ENSP00000347836	163
1843731	9606.ENSP00000244661	418
1855958	9606.ENSP00000362751	15.6
1845897	9606.ENSP00000266718	1402
1848829	9606.ENSP00000306328	7.93
1856190	9606.ENSP00000363985	0.01
1846199	9606.ENSP00000271526	8.59
1857035	9606.ENSP00000368767	171
1857427	9606.ENSP00000371155	51.4
1847771	9606.ENSP00000296666	165
1848820	9606.ENSP00000306223	36.8
1861855	9606.ENSP00000431049	830
1853770	9606.ENSP00000351811	1.26
1842626	9606.ENSP00000216840	4.82
1843036	9606.ENSP00000225603	234
1845605	9606.ENSP00000264714	39.1
1854149	9606.ENSP00000354566	3.85
1858551	9606.ENSP00000381064	12.4
1859488	9606.ENSP00000390331	2.82
1848850	9606.ENSP00000306496	31.4
1851597	9606.ENSP00000333568	0.01
1855873	9606.ENSP00000362387	5.08
1854238	9606.ENSP00000354869	3.95
1853021	9606.ENSP00000346148	40.3
1856074	9606.ENSP00000363377	5.32
1846561	9606.ENSP00000278360	2.26
1843354	9606.ENSP00000233596	34.4
1843969	9606.ENSP00000249601	3.09
1854828	9606.ENSP00000357583	32.9
1855835	9606.ENSP00000362208	13.1
1850062	9606.ENSP00000318629	26.3
1852634	9606.ENSP00000342858	283
1855111	9606.ENSP00000358820	0.005
1864854	9606.ENSP00000472847	50.6
1862037	9606.ENSP00000436580	6.35
1857507	9606.ENSP00000371734	2.75
1861786	9606.ENSP00000429301	1110
1850638	9606.ENSP00000324403	0.183
1855039	9606.ENSP00000358510	124
1858158	9606.ENSP00000377640	848
1853986	9606.ENSP00000353472	131
1845642	9606.ENSP00000264914	8.14
1849731	9606.ENSP00000314776	11.3
1847187	9606.ENSP00000289779	285
1843701	9606.ENSP00000244137	90.5
1852186	9606.ENSP00000339191	515
1849409	9606.ENSP00000311344	30.4
1848457	9606.ENSP00000302833	164
1843488	9606.ENSP00000238561	0.142
1844375	9606.ENSP00000255390	200
1851127	9606.ENSP00000329243	2982
1851070	9606.ENSP00000328729	84.6
1849860	9606.ENSP00000316284	0.06
1856602	9606.ENSP00000366249	0.014
1847517	9606.ENSP00000294973	15.6
1851797	9606.ENSP00000335040	1.38
1850267	9606.ENSP00000320646	12.7
1845671	9606.ENSP00000265029	23.7
1845400	9606.ENSP00000263710	0.264
1856081	9606.ENSP00000363392	279
1845020	9606.ENSP00000261890	937
1843673	9606.ENSP00000243563	147
1844410	9606.ENSP00000256178	93.4
1846374	9606.ENSP00000274311	41.1
1846723	9606.ENSP00000281419	0.416
1846136	9606.ENSP00000270202	5.1
1856989	9606.ENSP00000368468	71.4
1858578	9606.ENSP00000381220	26.1
1860721	9606.ENSP00000408464	0.564
1853466	9606.ENSP00000349594	3.28
1845855	9606.ENSP00000266085	302
1847448	9606.ENSP00000293872	35.4
1845863	9606.ENSP00000266263	27.7
1845894	9606.ENSP00000266682	0.012
1850253	9606.ENSP00000320508	13.2
1862079	9606.ENSP00000438125	15.0
1862423	9606.ENSP00000447537	3.21
1849749	9606.ENSP00000315013	41.0
1856600	9606.ENSP00000366246	20.1
1844628	9606.ENSP00000258729	134
1853112	9606.ENSP00000346964	46.8
1854369	9606.ENSP00000355402	1.75
1845219	9606.ENSP00000262812	408
1844711	9606.ENSP00000259632	154
1856891	9606.ENSP00000367817	9.48
1854192	9606.ENSP00000354687	153
1851936	9606.ENSP00000336856	6.25
1842663	9606.ENSP00000217407	200
1847818	9606.ENSP00000297056	58.5
1853333	9606.ENSP00000348706	378
1853096	9606.ENSP00000346827	179
1852317	9606.ENSP00000340361	0.006
1843976	9606.ENSP00000249806	44.9
1851221	9606.ENSP00000330148	0.33
1843832	9606.ENSP00000246747	52.2
1852735	9606.ENSP00000343741	0
1856298	9606.ENSP00000364589	39.8
1863928	9606.ENSP00000465894	18.0
1845308	9606.ENSP00000263212	52.4
1843753	9606.ENSP00000245304	216
1846563	9606.ENSP00000278407	242
1856140	9606.ENSP00000363676	340
1844941	9606.ENSP00000261588	0.445
1854640	9606.ENSP00000356621	2.26
1861695	9606.ENSP00000427015	0.595
1861633	9606.ENSP00000424707	234
1855990	9606.ENSP00000362924	904
1857354	9606.ENSP00000370648	157
1842671	9606.ENSP00000217456	534
1854154	9606.ENSP00000354574	0.02
1843445	9606.ENSP00000236959	208
1846175	9606.ENSP00000270776	326
1846794	9606.ENSP00000282441	20.8
1854384	9606.ENSP00000355465	1.13
1851566	9606.ENSP00000333266	4.63
1858427	9606.ENSP00000380054	0.439
1861822	9606.ENSP00000430128	47.0
1842574	9606.ENSP00000216264	0.019
1844973	9606.ENSP00000261716	0.815
1863911	9606.ENSP00000465194	29.9
1843357	9606.ENSP00000233616	640
1849060	9606.ENSP00000308344	7.08
1852542	9606.ENSP00000342026	1255
1843809	9606.ENSP00000246166	37.7
1845637	9606.ENSP00000264893	306
1852498	9606.ENSP00000341743	62.7
1861076	9606.ENSP00000414321	419
1846137	9606.ENSP00000270221	5.35
1847555	9606.ENSP00000295237	0.076
1858198	9606.ENSP00000377954	62.5
1850754	9606.ENSP00000325618	1.55
1859497	9606.ENSP00000390478	18.2
1853448	9606.ENSP00000349486	25.7
1862734	9606.ENSP00000450995	12.4
1851608	9606.ENSP00000333657	3.8
1850038	9606.ENSP00000318318	10.3
1844929	9606.ENSP00000261517	10.3
1842673	9606.ENSP00000217652	266
1846299	9606.ENSP00000273145	44.5
1847224	9606.ENSP00000290349	421
1847154	9606.ENSP00000289104	44.0
1853957	9606.ENSP00000353224	1328
1860202	9606.ENSP00000400101	225
1854893	9606.ENSP00000357823	15.5
1852594	9606.ENSP00000342434	2.78
1846182	9606.ENSP00000271064	202
1847723	9606.ENSP00000296417	360
1846068	9606.ENSP00000269143	103
1845807	9606.ENSP00000265801	1.39
