REACTION,FORWARD [mmol/gDW/hr],REVERSE [mmol/gDW/hr]
10FTHF5GLUtl,,
10FTHF5GLUtm,,
10FTHF6GLUtl,,
10FTHF6GLUtm,,
10FTHF7GLUtl,,
10FTHF7GLUtm,,
10FTHFtl,,
10FTHFtm,,
11DOCRTSLtm,,
11DOCRTSLtr,,
11DOCRTSTRNtm,,
11DOCRTSTRNtr,,
13DAMPPOX,73.1816355141,
1a_24_25VITD2Hm,,
1a_24_25VITD3Hm,,
1a_25VITD2Hm,,
1a_25VITD3Hm,,
1MNCAMti,,
1PPDCRp,,
24_25DHVITD2t,,
24_25DHVITD2tm,,
24_25DHVITD3t,,
24_25DHVITD3tm,,
24_25VITD2Hm,,
24_25VITD3Hm,,
24NPHte,,
25HVITD2t,,
25HVITD2tin,,
25HVITD2tin_m,,
25HVITD2tm,,
25HVITD3t,,
25HVITD3tin_m,,
25HVITD3tm,,
25VITD2Hm,,
25VITD3Hm,,
2AMACHYD,,
2AMACSULT,,
2AMADPTm,,
2DR1PP,,
2HBO,4.8631196222,25.330014469800002
2HBt2,,
2HCO3_NAt,,
2MCITt,,
2OXOADOXm,0.9927545129,
2OXOADPTm,,
34DHOXPEGOX,1.6183762952,0.007584155600000001
34DHOXPEGt,,
34DHPHAMT,0.0004316451,
34DHPHEt,,
34DHPLACOX,0.052935048600000006,
34DHPLACOX_NADP_,0.0435036735,0.0374280209
34DHXMANDACOX,0.0258794514,
34DHXMANDACOX_NADP_,0.0434728742,0.037220962
34HPLFM,,
34HPPOR,2.8278e-06,
35CGMPtn,,
3AIBTm,1.3877862486,0.0099016935
3AIBtmi,,
3DPHBH1,,
3DPHBH2,,
3DSPHR,0.0012855163,
3HAO,0.0034755851000000003,
3HBCDm,0.0053448797,0.004542406
3HBCOAHLm,,
3HKYNAKGAT,0.0001143876,
3HLYTCL,3.2957e-06,
3HPCOAHYD,0.0120183948,
3HPPD,,
3HXKYNDCL,0.0006645278999999999,
3HXKYNOXDA,0.0480480208,
3M4HDXPAC,0.052935048600000006,0.0657476449
3MLDAt,,
3MOBt2im,,
3MOPt2im,,
3MOX4HOXPGALDOX,0.052935048600000006,
3MOX4HOXPGALDOX_NADP_,0.0775049013,0.06580660349999999
3MOXTYROX,0.0480480208,
3NTD7l,0.0813778982,
3SALAASPm,,
3SALACBOXL,0.0013807822,
3SALAOX,,
3SALATAi,15.7422806368,
3SALATAim,3.6496232406,
3SPYRSP,,
3SPYRSPm,,
41R1H2MAE12BOOX,0.0480480208,
41R2A1H12BOOX,0.0480480208,
42A12BOOX,0.0453972261,
4ABUTtm,,
4HBZCOAFm,,
4HBZFm,,
4HDEBRISOQUINEte,,
4HGLSDm,0.0008488244999999999,
4HOXPACDOX_NADP_,0.0775049013,0.06723302240000001
4MOPt2im,,
4MPTNLte,,
4MPTNLtm,,
4MPTNLtr,,
4MTOLBUTAMIDEte,,
4NPHSFte,,
4NPHSULT,0.0307475162,
4NPHte,,
4PYRDX,,
5ADTSTSTERONEGLCte,,
5ADTSTSTERONEGLCtr,,
5ADTSTSTERONESte,,
5ADTSTSTERONESULT,2.8796e-06,
5ADTSTSTERONEte,,
5ADTSTSTERONEtr,,
5AOPtm,,
5DHFtl,,
5FTHFt2,,
5HLTDL,4.81197e-05,
5HOMEPRAZOLEte,,
5HOXINDACTO2OX,7.4324e-06,
5HOXINDACTOXm,0.08981621140000001,
5HOXINOXDA,0.32539347809999997,
5HTRPDOX,0.0002506869,
5HTRPVESSEC,,
5HXKYNDCL,4.8440100000000004e-05,
5HXKYNOXDA,0.0480480208,
5MTHFt,,
5MTHFt2,,
5THFtl,,
5THFtm,,
6DHFtl,,
6DHFtm,,
6HTSTSTERONEte,,
6HTSTSTERONEtr,,
6THFtl,,
6THFtm,,
7DHCHSTEROLtr,,
7DHFtl,,
7DHFtm,,
7THFtl,,
7THFtm,,
A_MANASE,0.0020693363,
A_MANASEly,0.1322572307,
A4GALTc,7.21491e-05,
A4GALTg,0.00021724680000000002,
A4GNT1g,7.780000000000001e-08,
A4GNT2g,,
AACTOOR,0.0068189128,
AACTtm,,
AASAD3m,,
AATAi,0.0,0.0
ABO1g,0.0004210196,
ABO2g,,
ABO3g,,
ABO4g,,
ABO5g,,
ABO6g,,
ABO7g,,
ABO8g,,
ABO9g,,
ABTArm,0.0099016935,1.3877862486
ABTD,,
ABTti,,
ABUTt2rL,,
ABUTt4_2_r,,
ACACT10m,0.1680657293,0.011964001100000001
ACACT1rm,0.005029748400000001,
ACACT1x,0.0002148336,
ACACt2m,,
ACACT4p,0.0054986078,
ACACT5p,0.0054986078,
ACACT6p,0.0054986078,
ACACT7p,0.0054986078,
ACACT8p,0.0054986078,
ACACT9p,0.0054986078,
ACACtx,,
ACALDtm,,
ACALDtr,,
ACALDtx,,
