REACTION,FORWARD [mmol/gDW/hr],REVERSE [mmol/gDW/hr]
10FTHF5GLUtl,,
10FTHF5GLUtm,,
10FTHF6GLUtl,,
10FTHF6GLUtm,,
10FTHF7GLUtl,,
10FTHF7GLUtm,,
10FTHFtl,,
10FTHFtm,,
11DOCRTSLtm,,
11DOCRTSLtr,,
11DOCRTSTRNtm,,
11DOCRTSTRNtr,,
13DAMPPOX,0.1364684388,
1a_24_25VITD2Hm,,
1a_24_25VITD3Hm,,
1a_25VITD2Hm,,
1a_25VITD3Hm,,
1MNCAMti,,
1PPDCRp,,
24_25DHVITD2t,,
24_25DHVITD2tm,,
24_25DHVITD3t,,
24_25DHVITD3tm,,
24_25VITD2Hm,,
24_25VITD3Hm,,
24NPHte,,
25HVITD2t,,
25HVITD2tin,,
25HVITD2tin_m,,
25HVITD2tm,,
25HVITD3t,,
25HVITD3tin_m,,
25HVITD3tm,,
25VITD2Hm,,
25VITD3Hm,,
2AMACHYD,,
2AMACSULT,,
2AMADPTm,,
2DR1PP,,
2HBO,8.4716051417,44.125149593500005
2HBt2,,
2HCO3_NAt,,
2MCITt,,
2OXOADOXm,0.8029550414,
2OXOADPTm,,
34DHOXPEGOX,1.8931102530000001,0.0088716343
34DHOXPEGt,,
34DHPHAMT,0.0012063509,
34DHPHEt,,
34DHPLACOX,0.09427253960000001,
34DHPLACOX_NADP_,0.130338125,0.11213531339999999
34DHXMANDACOX,0.0741324781,
34DHXMANDACOX_NADP_,0.0314372923,0.0269162388
34HPLFM,,
34HPPOR,1.388e-07,
35CGMPtn,,
3AIBTm,0.0051085498,3.6448899999999996e-05
3AIBtmi,,
3DPHBH1,,
3DPHBH2,,
3DSPHR,0.00040522379999999997,
3HAO,0.00043730239999999996,
3HBCDm,0.0026085908,0.0022169401
3HBCOAHLm,,
3HKYNAKGAT,0.0001143876,
3HLYTCL,3.2957e-06,
3HPCOAHYD,0.006147026999999999,
3HPPD,,
3HXKYNDCL,0.0006645278999999999,
3HXKYNOXDA,0.0212306107,
3M4HDXPAC,0.09427253960000001,0.11709061609999999
3MLDAt,,
3MOBt2im,,
3MOPt2im,,
3MOX4HOXPGALDOX,0.09427253960000001,
3MOX4HOXPGALDOX_NADP_,0.1380292278,0.1171956161
3MOXTYROX,0.0212306107,
3NTD7l,0.2537632711,
3SALAASPm,,
3SALACBOXL,0.00013205889999999998,
3SALAOX,,
3SALATAi,18.7479878227,
3SALATAim,7.80554076,
3SPYRSP,,
3SPYRSPm,,
41R1H2MAE12BOOX,0.0212306107,
41R2A1H12BOOX,0.0212306107,
42A12BOOX,0.0175578387,
4ABUTtm,,
4HBZCOAFm,,
4HBZFm,,
4HDEBRISOQUINEte,,
4HGLSDm,0.0039068876,
4HOXPACDOX_NADP_,0.1380292278,0.1197359393
4MOPt2im,,
4MPTNLte,,
4MPTNLtm,,
4MPTNLtr,,
4MTOLBUTAMIDEte,,
4NPHSFte,,
4NPHSULT,0.0151071854,
4NPHte,,
4PYRDX,,
5ADTSTSTERONEGLCte,,
5ADTSTSTERONEGLCtr,,
5ADTSTSTERONESte,,
5ADTSTSTERONESULT,2.8796e-06,
5ADTSTSTERONEte,,
5ADTSTSTERONEtr,,
5AOPtm,,
5DHFtl,,
5FTHFt2,,
5HLTDL,4.81197e-05,
5HOMEPRAZOLEte,,
5HOXINDACTO2OX,4.42e-08,
5HOXINDACTOXm,0.0386707802,
5HOXINOXDA,0.1437791223,
5HTRPDOX,0.0067115574,
5HTRPVESSEC,,
5HXKYNDCL,4.8440100000000004e-05,
5HXKYNOXDA,0.0212306107,
5MTHFt,,
5MTHFt2,,
5THFtl,,
5THFtm,,
6DHFtl,,
6DHFtm,,
6HTSTSTERONEte,,
6HTSTSTERONEtr,,
6THFtl,,
6THFtm,,
7DHCHSTEROLtr,,
7DHFtl,,
7DHFtm,,
7THFtl,,
7THFtm,,
A_MANASE,0.0020071303,
A_MANASEly,0.1004499176,
A4GALTc,0.0003849674,
A4GALTg,0.0011591672,
A4GNT1g,2.1582e-06,
A4GNT2g,,
AACTOOR,9.8467e-06,
AACTtm,,
AASAD3m,,
AATAi,0.0,0.0
ABO1g,0.0012250539,
ABO2g,,
ABO3g,,
ABO4g,,
ABO5g,,
ABO6g,,
ABO7g,,
ABO8g,,
ABO9g,,
ABTArm,3.6448899999999996e-05,0.0051085498
ABTD,,
ABTti,,
ABUTt2rL,,
ABUTt4_2_r,,
ACACT10m,0.0681398193,0.0048506312
ACACT1rm,0.0021007772,
ACACT1x,0.0007869498,
ACACt2m,,
ACACT4p,0.0048295696,
ACACT5p,0.0048295696,
ACACT6p,0.0048295696,
ACACT7p,0.0048295696,
ACACT8p,0.0048295696,
ACACT9p,0.0048295696,
ACACtx,,
ACALDtm,,
ACALDtr,,
ACALDtx,,
