REACTION,FORWARD [mmol/gDW/hr],REVERSE [mmol/gDW/hr]
10FTHF5GLUtl,,
10FTHF5GLUtm,,
10FTHF6GLUtl,,
10FTHF6GLUtm,,
10FTHF7GLUtl,,
10FTHF7GLUtm,,
10FTHFtl,,
10FTHFtm,,
11DOCRTSLtm,,
11DOCRTSLtr,,
11DOCRTSTRNtm,,
11DOCRTSTRNtr,,
13DAMPPOX,3.1680609927999996,
1a_24_25VITD2Hm,,
1a_24_25VITD3Hm,,
1a_25VITD2Hm,,
1a_25VITD3Hm,,
1MNCAMti,,
1PPDCRp,,
24_25DHVITD2t,,
24_25DHVITD2tm,,
24_25DHVITD3t,,
24_25DHVITD3tm,,
24_25VITD2Hm,,
24_25VITD3Hm,,
24NPHte,,
25HVITD2t,,
25HVITD2tin,,
25HVITD2tin_m,,
25HVITD2tm,,
25HVITD3t,,
25HVITD3tin_m,,
25HVITD3tm,,
25VITD2Hm,,
25VITD3Hm,,
2AMACHYD,,
2AMACSULT,,
2AMADPTm,,
2DR1PP,,
2HBO,3.819999302,19.896824489700002
2HBt2,,
2HCO3_NAt,,
2MCITt,,
2OXOADOXm,0.6643908144,
2OXOADPTm,,
34DHOXPEGOX,1.2790528983,0.005993993
34DHOXPEGt,,
34DHPHAMT,0.001796702,
34DHPHEt,,
34DHPLACOX,0.0192444141,
34DHPLACOX_NADP_,0.0278716992,0.0239791828
34DHXMANDACOX,0.0191254082,
34DHXMANDACOX_NADP_,0.027736472999999998,0.0237476409
34HPLFM,,
34HPPOR,8.02234e-05,
35CGMPtn,,
3AIBTm,0.20428249920000002,0.0014575319
3AIBtmi,,
3DPHBH1,,
3DPHBH2,,
3DSPHR,0.0007338117,
3HAO,0.0206482784,
3HBCDm,0.0008935749,0.0007594146
3HBCOAHLm,,
3HKYNAKGAT,0.0001143876,
3HLYTCL,2.2699999999999998e-07,
3HPCOAHYD,0.011475840800000001,
3HPPD,,
3HXKYNDCL,4.577439999999999e-05,
3HXKYNOXDA,0.0013137845,
3M4HDXPAC,0.0192444141,0.0239024038
3MLDAt,,
3MOBt2im,,
3MOPt2im,,
3MOX4HOXPGALDOX,0.0192444141,
3MOX4HOXPGALDOX_NADP_,0.0281767271,0.0239238381
3MOXTYROX,0.0013137845,
3NTD7l,0.0313565466,
3SALAASPm,,
3SALACBOXL,0.0039237908,
3SALAOX,,
3SALATAi,18.6727136539,
3SALATAim,5.3610822377,
3SPYRSP,,
3SPYRSPm,,
41R1H2MAE12BOOX,0.0013137845,
41R2A1H12BOOX,0.0013137845,
42A12BOOX,0.001331967,
4ABUTtm,,
4HBZCOAFm,,
4HBZFm,,
4HDEBRISOQUINEte,,
4HGLSDm,0.0010205046,
4HOXPACDOX_NADP_,0.0281767271,0.024442409300000002
4MOPt2im,,
4MPTNLte,,
4MPTNLtm,,
4MPTNLtr,,
4MTOLBUTAMIDEte,,
4NPHSFte,,
4NPHSULT,0.0684270448,
4NPHte,,
4PYRDX,,
5ADTSTSTERONEGLCte,,
5ADTSTSTERONEGLCtr,,
5ADTSTSTERONESte,,
5ADTSTSTERONESULT,1.7784e-06,
5ADTSTSTERONEte,,
5ADTSTSTERONEtr,,
5AOPtm,,
5DHFtl,,
5FTHFt2,,
5HLTDL,3.3146e-06,
5HOMEPRAZOLEte,,
5HOXINDACTO2OX,3.6820000000000003e-07,
5HOXINDACTOXm,0.0114416857,
5HOXINOXDA,0.008897284699999999,
5HTRPDOX,0.00031415400000000003,
5HTRPVESSEC,,
5HXKYNDCL,3.3367e-06,
5HXKYNOXDA,0.0013137845,
5MTHFt,,
5MTHFt2,,
5THFtl,,
5THFtm,,
6DHFtl,,
6DHFtm,,
6HTSTSTERONEte,,
6HTSTSTERONEtr,,
6THFtl,,
6THFtm,,
7DHCHSTEROLtr,,
7DHFtl,,
7DHFtm,,
7THFtl,,
7THFtm,,
A_MANASE,0.025121853399999998,
A_MANASEly,0.28242443230000003,
A4GALTc,2.0068e-06,
A4GALTg,6.0425999999999995e-06,
A4GNT1g,2.3804e-06,
A4GNT2g,,
AACTOOR,9.562370000000001e-05,
AACTtm,,
AASAD3m,,
AATAi,0.0,0.0
ABO1g,0.0013174688,
ABO2g,,
ABO3g,,
ABO4g,,
ABO5g,,
ABO6g,,
ABO7g,,
ABO8g,,
ABO9g,,
ABTArm,0.0014575319,0.20428249920000002
ABTD,,
ABTti,,
ABUTt2rL,,
ABUTt4_2_r,,
ACACT10m,0.1365245998,0.0097187003
ACACT1rm,0.0037850403000000005,
ACACT1x,0.000343105,
ACACt2m,,
ACACT4p,0.0080268538,
ACACT5p,0.0080268538,
ACACT6p,0.0080268538,
ACACT7p,0.0080268538,
ACACT8p,0.0080268538,
ACACT9p,0.0080268538,
ACACtx,,
ACALDtm,,
ACALDtr,,
ACALDtx,,
