REACTION,FORWARD [mmol/gDW/hr],REVERSE [mmol/gDW/hr]
10FTHF5GLUtl,,
10FTHF5GLUtm,,
10FTHF6GLUtl,,
10FTHF6GLUtm,,
10FTHF7GLUtl,,
10FTHF7GLUtm,,
10FTHFtl,,
10FTHFtm,,
11DOCRTSLtm,,
11DOCRTSLtr,,
11DOCRTSTRNtm,,
11DOCRTSTRNtr,,
13DAMPPOX,1753.1765176688,
1a_24_25VITD2Hm,,
1a_24_25VITD3Hm,,
1a_25VITD2Hm,,
1a_25VITD3Hm,,
1MNCAMti,,
1PPDCRp,,
24_25DHVITD2t,,
24_25DHVITD2tm,,
24_25DHVITD3t,,
24_25DHVITD3tm,,
24_25VITD2Hm,,
24_25VITD3Hm,,
24NPHte,,
25HVITD2t,,
25HVITD2tin,,
25HVITD2tin_m,,
25HVITD2tm,,
25HVITD3t,,
25HVITD3tin_m,,
25HVITD3tm,,
25VITD2Hm,,
25VITD3Hm,,
2AMACHYD,,
2AMACSULT,,
2AMADPTm,,
2DR1PP,,
2HBO,5.3415996387,27.8222224931
2HBt2,,
2HCO3_NAt,,
2MCITt,,
2OXOADOXm,1.3531739836,
2OXOADPTm,,
34DHOXPEGOX,6.5061410658000005,0.030489562999999997
34DHOXPEGt,,
34DHPHAMT,0.0006406893,
34DHPHEt,,
34DHPLACOX,0.050164888899999996,
34DHPLACOX_NADP_,0.0489221699,0.0420897788
34DHXMANDACOX,0.0194190454,
34DHXMANDACOX_NADP_,0.048429825499999996,0.041465045299999996
34HPLFM,,
34HPPOR,1.1146600000000001e-05,
35CGMPtn,,
3AIBTm,0.1520141102,0.001084603
3AIBtmi,,
3DPHBH1,,
3DPHBH2,,
3DSPHR,0.0015521466000000001,
3HAO,0.0105133581,
3HBCDm,0.0167112055,0.0142022055
3HBCOAHLm,,
3HKYNAKGAT,0.0001143876,
3HLYTCL,1.377e-07,
3HPCOAHYD,0.025939417599999997,
3HPPD,,
3HXKYNDCL,2.77577e-05,
3HXKYNOXDA,0.519918297,
3M4HDXPAC,0.050164888899999996,0.0623069854
3MLDAt,,
3MOBt2im,,
3MOPt2im,,
3MOX4HOXPGALDOX,0.050164888899999996,
3MOX4HOXPGALDOX_NADP_,0.07344896940000001,0.0623628586
3MOXTYROX,0.519918297,
3NTD7l,0.029284949100000002,
3SALAASPm,,
3SALACBOXL,0.002804908,
3SALAOX,,
3SALATAi,11.349520963699998,
3SALATAim,3.2410293697,
3SPYRSP,,
3SPYRSPm,,
41R1H2MAE12BOOX,0.519918297,
41R2A1H12BOOX,0.519918297,
42A12BOOX,0.5659140082999999,
4ABUTtm,,
4HBZCOAFm,,
4HBZFm,,
4HDEBRISOQUINEte,,
4HGLSDm,0.0061139678,
4HOXPACDOX_NADP_,0.07344896940000001,0.0637146312
4MOPt2im,,
4MPTNLte,,
4MPTNLtm,,
4MPTNLtr,,
4MTOLBUTAMIDEte,,
4NPHSFte,,
4NPHSULT,0.0562271917,
4NPHte,,
4PYRDX,,
5ADTSTSTERONEGLCte,,
5ADTSTSTERONEGLCtr,,
5ADTSTSTERONESte,,
5ADTSTSTERONESULT,2.8796e-06,
5ADTSTSTERONEte,,
5ADTSTSTERONEtr,,
5AOPtm,,
5DHFtl,,
5FTHFt2,,
5HLTDL,2.01e-06,
5HOMEPRAZOLEte,,
5HOXINDACTO2OX,7.150399999999999e-06,
5HOXINDACTOXm,0.7395807301999999,
5HOXINOXDA,3.5210195975,
5HTRPDOX,0.0001060875,
5HTRPVESSEC,,
5HXKYNDCL,2.0234e-06,
5HXKYNOXDA,0.519918297,
5MTHFt,,
5MTHFt2,,
5THFtl,,
5THFtm,,
6DHFtl,,
6DHFtm,,
6HTSTSTERONEte,,
6HTSTSTERONEtr,,
6THFtl,,
6THFtm,,
7DHCHSTEROLtr,,
7DHFtl,,
7DHFtm,,
7THFtl,,
7THFtm,,
A_MANASE,0.0066677698999999995,
A_MANASEly,0.0761611431,
A4GALTc,9.35699e-05,
A4GALTg,0.0002817464,
A4GNT1g,3.621e-07,
A4GNT2g,,
AACTOOR,0.163503603,
AACTtm,,
AASAD3m,,
AATAi,0.0,0.0
ABO1g,0.0006012887,
ABO2g,,
ABO3g,,
ABO4g,,
ABO5g,,
ABO6g,,
ABO7g,,
ABO8g,,
ABO9g,,
ABTArm,0.001084603,0.1520141102
ABTD,,
ABTti,,
ABUTt2rL,,
ABUTt4_2_r,,
ACACT10m,0.8008369902,0.057008734900000003
ACACT1rm,0.0198327654,
ACACT1x,0.000219703,
ACACt2m,,
ACACT4p,0.0126522899,
ACACT5p,0.0126522899,
ACACT6p,0.0126522899,
ACACT7p,0.0126522899,
ACACT8p,0.0126522899,
ACACT9p,0.0126522899,
ACACtx,,
ACALDtm,,
ACALDtr,,
ACALDtx,,
