REACTION,FORWARD [mmol/gDW/hr],REVERSE [mmol/gDW/hr]
10FTHF5GLUtl,,
10FTHF5GLUtm,,
10FTHF6GLUtl,,
10FTHF6GLUtm,,
10FTHF7GLUtl,,
10FTHF7GLUtm,,
10FTHFtl,,
10FTHFtm,,
11DOCRTSLtm,,
11DOCRTSLtr,,
11DOCRTSTRNtm,,
11DOCRTSTRNtr,,
13DAMPPOX,0.6244916061,
1a_24_25VITD2Hm,,
1a_24_25VITD3Hm,,
1a_25VITD2Hm,,
1a_25VITD3Hm,,
1MNCAMti,,
1PPDCRp,,
24_25DHVITD2t,,
24_25DHVITD2tm,,
24_25DHVITD3t,,
24_25DHVITD3tm,,
24_25VITD2Hm,,
24_25VITD3Hm,,
24NPHte,,
25HVITD2t,,
25HVITD2tin,,
25HVITD2tin_m,,
25HVITD2tm,,
25HVITD3t,,
25HVITD3tin_m,,
25HVITD3tm,,
25VITD2Hm,,
25VITD3Hm,,
2AMACHYD,,
2AMACSULT,,
2AMADPTm,,
2DR1PP,,
2HBO,2.7870665813,14.5166975763
2HBt2,,
2HCO3_NAt,,
2MCITt,,
2OXOADOXm,0.4206225156,
2OXOADPTm,,
34DHOXPEGOX,2.3100649875,0.010825598700000001
34DHOXPEGt,,
34DHPHAMT,0.0021229351000000003,
34DHPHEt,,
34DHPLACOX,0.0160793721,
34DHPLACOX_NADP_,0.020397138500000002,0.0175485072
34DHXMANDACOX,0.0069493578,
34DHXMANDACOX_NADP_,0.0155345936,0.013300535700000001
34HPLFM,,
34HPPOR,4.1181000000000004e-06,
35CGMPtn,,
3AIBTm,0.0169690767,0.0001210724
3AIBtmi,,
3DPHBH1,,
3DPHBH2,,
3DSPHR,0.0010711304,
3HAO,0.0041969396,
3HBCDm,0.013045834199999998,0.011087148500000001
3HBCOAHLm,,
3HKYNAKGAT,0.0001143876,
3HLYTCL,1.14e-08,
3HPCOAHYD,0.0100747493,
3HPPD,,
3HXKYNDCL,2.2982e-06,
3HXKYNOXDA,0.0730860157,
3M4HDXPAC,0.0160793721,0.019971283200000002
3MLDAt,,
3MOBt2im,,
3MOPt2im,,
3MOX4HOXPGALDOX,0.0160793721,
3MOX4HOXPGALDOX_NADP_,0.023542627799999997,0.0199891923
3MOXTYROX,0.0730860157,
3NTD7l,0.1277452599,
3SALAASPm,,
3SALACBOXL,0.0023001329999999998,
3SALAOX,,
3SALATAi,16.5356898789,
3SALATAim,4.2648383483,
3SPYRSP,,
3SPYRSPm,,
41R1H2MAE12BOOX,0.0730860157,
41R2A1H12BOOX,0.0730860157,
42A12BOOX,0.0604545789,
4ABUTtm,,
4HBZCOAFm,,
4HBZFm,,
4HDEBRISOQUINEte,,
4HGLSDm,0.0011018535,
4HOXPACDOX_NADP_,0.023542627799999997,0.020422476499999998
4MOPt2im,,
4MPTNLte,,
4MPTNLtm,,
4MPTNLtr,,
4MTOLBUTAMIDEte,,
4NPHSFte,,
4NPHSULT,0.0173996257,
4NPHte,,
4PYRDX,,
5ADTSTSTERONEGLCte,,
5ADTSTSTERONEGLCtr,,
5ADTSTSTERONESte,,
5ADTSTSTERONESULT,1.7556e-06,
5ADTSTSTERONEte,,
5ADTSTSTERONEtr,,
5AOPtm,,
5DHFtl,,
5FTHFt2,,
5HLTDL,1.664e-07,
5HOMEPRAZOLEte,,
5HOXINDACTO2OX,3.027e-07,
5HOXINDACTOXm,0.1273301412,
5HOXINOXDA,0.49495717920000004,
5HTRPDOX,0.00048594489999999996,
5HTRPVESSEC,,
5HXKYNDCL,1.675e-07,
5HXKYNOXDA,0.0730860157,
5MTHFt,,
5MTHFt2,,
5THFtl,,
5THFtm,,
6DHFtl,,
6DHFtm,,
6HTSTSTERONEte,,
6HTSTSTERONEtr,,
6THFtl,,
6THFtm,,
7DHCHSTEROLtr,,
7DHFtl,,
7DHFtm,,
7THFtl,,
7THFtm,,
A_MANASE,0.0088467192,
A_MANASEly,0.4005499578,
A4GALTc,0.00020876150000000002,
A4GALTg,0.0006285973,
A4GNT1g,3.864e-07,
A4GNT2g,,
AACTOOR,4.07229e-05,
AACTtm,,
AASAD3m,,
AATAi,0.0,0.0
ABO1g,0.0041104978000000006,
ABO2g,,
ABO3g,,
ABO4g,,
ABO5g,,
ABO6g,,
ABO7g,,
ABO8g,,
ABO9g,,
ABTArm,0.0001210724,0.0169690767
ABTD,,
ABTti,,
ABUTt2rL,,
ABUTt4_2_r,,
ACACT10m,0.0678524396,0.0048301737
ACACT1rm,0.0021350875,
ACACT1x,0.0010452094,
ACACt2m,,
ACACT4p,0.002816341,
ACACT5p,0.002816341,
ACACT6p,0.002816341,
ACACT7p,0.002816341,
ACACT8p,0.002816341,
ACACT9p,0.002816341,
ACACtx,,
ACALDtm,,
ACALDtr,,
ACALDtx,,
