REACTION,FORWARD [mmol/gDW/hr],REVERSE [mmol/gDW/hr]
10FTHF5GLUtl,,
10FTHF5GLUtm,,
10FTHF6GLUtl,,
10FTHF6GLUtm,,
10FTHF7GLUtl,,
10FTHF7GLUtm,,
10FTHFtl,,
10FTHFtm,,
11DOCRTSLtm,,
11DOCRTSLtr,,
11DOCRTSTRNtm,,
11DOCRTSTRNtr,,
13DAMPPOX,7.0024671003,
1a_24_25VITD2Hm,,
1a_24_25VITD3Hm,,
1a_25VITD2Hm,,
1a_25VITD3Hm,,
1MNCAMti,,
1PPDCRp,,
24_25DHVITD2t,,
24_25DHVITD2tm,,
24_25DHVITD3t,,
24_25DHVITD3tm,,
24_25VITD2Hm,,
24_25VITD3Hm,,
24NPHte,,
25HVITD2t,,
25HVITD2tin,,
25HVITD2tin_m,,
25HVITD2tm,,
25HVITD3t,,
25HVITD3tin_m,,
25HVITD3tm,,
25VITD2Hm,,
25VITD3Hm,,
2AMACHYD,,
2AMACSULT,,
2AMADPTm,,
2DR1PP,,
2HBO,6.664589918300001,34.7131413948
2HBt2,,
2HCO3_NAt,,
2MCITt,,
2OXOADOXm,1.2490581627,
2OXOADPTm,,
34DHOXPEGOX,1.6081814022999998,0.0075363795
34DHOXPEGt,,
34DHPHAMT,0.0007838467999999999,
34DHPHEt,,
34DHPLACOX,0.0054966497,
34DHPLACOX_NADP_,0.0028773777,0.0024755277999999998
34DHXMANDACOX,0.0054749659,
34DHXMANDACOX_NADP_,0.0026162409,0.0022399946
34HPLFM,,
34HPPOR,3.779e-07,
35CGMPtn,,
3AIBTm,0.023189495499999997,0.0001654544
3AIBtmi,,
3DPHBH1,,
3DPHBH2,,
3DSPHR,0.0010805697,
3HAO,0.0136172843,
3HBCDm,0.0032870109000000002,0.0027935031
3HBCOAHLm,,
3HKYNAKGAT,0.0001143876,
3HLYTCL,3.4613800000000004e-05,
3HPCOAHYD,0.0196425608,
3HPPD,,
3HXKYNDCL,0.0069793424,
3HXKYNOXDA,0.0259095663,
3M4HDXPAC,0.0054966497,0.006827079200000001
3MLDAt,,
3MOBt2im,,
3MOPt2im,,
3MOX4HOXPGALDOX,0.0054966497,
3MOX4HOXPGALDOX_NADP_,0.0080479248,0.0068332013
3MOXTYROX,0.0259095663,
3NTD7l,0.1226856383,
3SALAASPm,,
3SALACBOXL,4.7026999999999995e-05,
3SALAOX,,
3SALATAi,43.9286804541,
3SALATAim,13.969282760699999,
3SPYRSP,,
3SPYRSPm,,
41R1H2MAE12BOOX,0.0259095663,
41R2A1H12BOOX,0.0259095663,
42A12BOOX,0.0219584213,
4ABUTtm,,
4HBZCOAFm,,
4HBZFm,,
4HDEBRISOQUINEte,,
4HGLSDm,0.0029295196999999996,
4HOXPACDOX_NADP_,0.0080479248,0.0069813173
4MOPt2im,,
4MPTNLte,,
4MPTNLtm,,
4MPTNLtr,,
4MTOLBUTAMIDEte,,
4NPHSFte,,
4NPHSULT,0.0213306209,
4NPHte,,
4PYRDX,,
5ADTSTSTERONEGLCte,,
5ADTSTSTERONEGLCtr,,
5ADTSTSTERONESte,,
5ADTSTSTERONESULT,2.8796e-06,
5ADTSTSTERONEte,,
5ADTSTSTERONEtr,,
5AOPtm,,
5DHFtl,,
5FTHFt2,,
5HLTDL,0.0005053876,
5HOMEPRAZOLEte,,
5HOXINDACTO2OX,2.011e-07,
5HOXINDACTOXm,0.2354847459,
5HOXINOXDA,0.1754662055,
5HTRPDOX,0.0012706944,
5HTRPVESSEC,,
5HXKYNDCL,0.000508752,
5HXKYNOXDA,0.0259095663,
5MTHFt,,
5MTHFt2,,
5THFtl,,
5THFtm,,
6DHFtl,,
6DHFtm,,
6HTSTSTERONEte,,
6HTSTSTERONEtr,,
6THFtl,,
6THFtm,,
7DHCHSTEROLtr,,
7DHFtl,,
7DHFtm,,
7THFtl,,
7THFtm,,
A_MANASE,0.0010064088000000001,
A_MANASEly,0.1653569861,
A4GALTc,1.4575999999999999e-05,
A4GALTg,4.38896e-05,
A4GNT1g,2.0099999999999998e-08,
A4GNT2g,,
AACTOOR,0.0006530466,
AACTtm,,
AASAD3m,,
AATAi,0.0,0.0
ABO1g,0.0031022593,
ABO2g,,
ABO3g,,
ABO4g,,
ABO5g,,
ABO6g,,
ABO7g,,
ABO8g,,
ABO9g,,
ABTArm,0.0001654544,0.023189495499999997
ABTD,,
ABTti,,
ABUTt2rL,,
ABUTt4_2_r,,
ACACT10m,0.340287175,0.024223832799999998
ACACT1rm,0.0110354802,
ACACT1x,0.0009752380999999999,
ACACt2m,,
ACACT4p,0.0038211027,
ACACT5p,0.0038211027,
ACACT6p,0.0038211027,
ACACT7p,0.0038211027,
ACACT8p,0.0038211027,
ACACT9p,0.0038211027,
ACACtx,,
ACALDtm,,
ACALDtr,,
ACALDtx,,
