REACTION,FORWARD [mmol/gDW/hr],REVERSE [mmol/gDW/hr]
10FTHF5GLUtl,,
10FTHF5GLUtm,,
10FTHF6GLUtl,,
10FTHF6GLUtm,,
10FTHF7GLUtl,,
10FTHF7GLUtm,,
10FTHFtl,,
10FTHFtm,,
11DOCRTSLtm,,
11DOCRTSLtr,,
11DOCRTSTRNtm,,
11DOCRTSTRNtr,,
13DAMPPOX,0.17715829489999999,
1a_24_25VITD2Hm,,
1a_24_25VITD3Hm,,
1a_25VITD2Hm,,
1a_25VITD3Hm,,
1MNCAMti,,
1PPDCRp,,
24_25DHVITD2t,,
24_25DHVITD2tm,,
24_25DHVITD3t,,
24_25DHVITD3tm,,
24_25VITD2Hm,,
24_25VITD3Hm,,
24NPHte,,
25HVITD2t,,
25HVITD2tin,,
25HVITD2tin_m,,
25HVITD2tm,,
25HVITD3t,,
25HVITD3tin_m,,
25HVITD3tm,,
25VITD2Hm,,
25VITD3Hm,,
2AMACHYD,,
2AMACSULT,,
2AMADPTm,,
2DR1PP,,
2HBO,18.3010400498,95.3226828219
2HBt2,,
2HCO3_NAt,,
2MCITt,,
2OXOADOXm,0.6779966065,
2OXOADPTm,,
34DHOXPEGOX,0.9694793919,0.0045432466
34DHOXPEGt,,
34DHPHAMT,0.0013311057999999998,
34DHPHEt,,
34DHPLACOX,0.0414845098,
34DHPLACOX_NADP_,0.0372532745,0.0320505425
34DHXMANDACOX,0.0209139025,
34DHXMANDACOX_NADP_,0.0329917135,0.028247115899999998
34HPLFM,,
34HPPOR,1.7579e-06,
35CGMPtn,,
3AIBTm,0.0783439614,0.0005589751
3AIBtmi,,
3DPHBH1,,
3DPHBH2,,
3DSPHR,0.0004601139,
3HAO,0.0001541759,
3HBCDm,0.0006222999,0.0005288686
3HBCOAHLm,,
3HKYNAKGAT,0.0001143876,
3HLYTCL,4.8e-09,
3HPCOAHYD,0.0031456824,
3HPPD,,
3HXKYNDCL,9.684000000000001e-07,
3HXKYNOXDA,0.0204427428,
3M4HDXPAC,0.0414845098,0.051525575
3MLDAt,,
3MOBt2im,,
3MOPt2im,,
3MOX4HOXPGALDOX,0.0414845098,
3MOX4HOXPGALDOX_NADP_,0.0607395841,0.0515717801
3MOXTYROX,0.0204427428,
3NTD7l,0.08121398440000001,
3SALAASPm,,
3SALACBOXL,5.4341899999999996e-05,
3SALAOX,,
3SALATAi,15.7081789418,
3SALATAim,13.1192412726,
3SPYRSP,,
3SPYRSPm,,
41R1H2MAE12BOOX,0.0204427428,
41R2A1H12BOOX,0.0204427428,
42A12BOOX,0.0169098219,
4ABUTtm,,
4HBZCOAFm,,
4HBZFm,,
4HDEBRISOQUINEte,,
4HGLSDm,0.0016850854000000001,
4HOXPACDOX_NADP_,0.0607395841,0.0526896461
4MOPt2im,,
4MPTNLte,,
4MPTNLtm,,
4MPTNLtr,,
4MTOLBUTAMIDEte,,
4NPHSFte,,
4NPHSULT,0.016356236,
4NPHte,,
4PYRDX,,
5ADTSTSTERONEGLCte,,
5ADTSTSTERONEGLCtr,,
5ADTSTSTERONESte,,
5ADTSTSTERONESULT,2.8796e-06,
5ADTSTSTERONEte,,
5ADTSTSTERONEtr,,
5AOPtm,,
5DHFtl,,
5FTHFt2,,
5HLTDL,7.01e-08,
5HOMEPRAZOLEte,,
5HOXINDACTO2OX,5.676e-07,
5HOXINDACTOXm,0.0442035724,
5HOXINOXDA,0.1384434795,
5HTRPDOX,0.0008236771,
5HTRPVESSEC,,
5HXKYNDCL,7.06e-08,
5HXKYNOXDA,0.0204427428,
5MTHFt,,
5MTHFt2,,
5THFtl,,
5THFtm,,
6DHFtl,,
6DHFtm,,
6HTSTSTERONEte,,
6HTSTSTERONEtr,,
6THFtl,,
6THFtm,,
7DHCHSTEROLtr,,
7DHFtl,,
7DHFtm,,
7THFtl,,
7THFtm,,
A_MANASE,0.0012765611,
A_MANASEly,0.0964888049,
A4GALTc,0.0016827073000000002,
A4GALTg,0.0050667646,
A4GNT1g,1.76e-08,
A4GNT2g,,
AACTOOR,1.20927e-05,
AACTtm,,
AASAD3m,,
AATAi,0.0,0.0
ABO1g,0.006198743299999999,
ABO2g,,
ABO3g,,
ABO4g,,
ABO5g,,
ABO6g,,
ABO7g,,
ABO8g,,
ABO9g,,
ABTArm,0.0005589751,0.0783439614
ABTD,,
ABTti,,
ABUTt2rL,,
ABUTt4_2_r,,
ACACT10m,0.0365451542,0.0026015195000000002
ACACT1rm,0.0012800415,
ACACT1x,0.0001136273,
ACACt2m,,
ACACT4p,0.0038439809,
ACACT5p,0.0038439809,
ACACT6p,0.0038439809,
ACACT7p,0.0038439809,
ACACT8p,0.0038439809,
ACACT9p,0.0038439809,
ACACtx,,
ACALDtm,,
ACALDtr,,
ACALDtx,,
ACCOACm,2.586e-07,
