REACTION,FORWARD [mmol/gDW/hr],REVERSE [mmol/gDW/hr]
10FTHF5GLUtl,,
10FTHF5GLUtm,,
10FTHF6GLUtl,,
10FTHF6GLUtm,,
10FTHF7GLUtl,,
10FTHF7GLUtm,,
10FTHFtl,,
10FTHFtm,,
11DOCRTSLtm,,
11DOCRTSLtr,,
11DOCRTSTRNtm,,
11DOCRTSTRNtr,,
13DAMPPOX,1.2674121585,
1a_24_25VITD2Hm,,
1a_24_25VITD3Hm,,
1a_25VITD2Hm,,
1a_25VITD3Hm,,
1MNCAMti,,
1PPDCRp,,
24_25DHVITD2t,,
24_25DHVITD2tm,,
24_25DHVITD3t,,
24_25DHVITD3tm,,
24_25VITD2Hm,,
24_25VITD3Hm,,
24NPHte,,
25HVITD2t,,
25HVITD2tin,,
25HVITD2tin_m,,
25HVITD2tm,,
25HVITD3t,,
25HVITD3tin_m,,
25HVITD3tm,,
25VITD2Hm,,
25VITD3Hm,,
2AMACHYD,,
2AMACSULT,,
2AMADPTm,,
2DR1PP,,
2HBO,6.1155044492999995,31.8531782525
2HBt2,,
2HCO3_NAt,,
2MCITt,,
2OXOADOXm,0.40649558490000004,
2OXOADPTm,,
34DHOXPEGOX,1.3483736041,0.0063188489
34DHOXPEGt,,
34DHPHAMT,0.00045195660000000004,
34DHPHEt,,
34DHPLACOX,0.0183342357,
34DHPLACOX_NADP_,0.0137885514,0.0118628646
34DHXMANDACOX,0.0183180862,
34DHXMANDACOX_NADP_,0.0137573851,0.011778910900000002
34HPLFM,,
34HPPOR,6.906999999999999e-07,
35CGMPtn,,
3AIBTm,0.008019475,5.7218e-05
3AIBtmi,,
3DPHBH1,,
3DPHBH2,,
3DSPHR,0.003030862,
3HAO,0.0023837421,
3HBCDm,0.0020633164,0.0017535326000000001
3HBCOAHLm,,
3HKYNAKGAT,0.0001143876,
3HLYTCL,2.92e-08,
3HPCOAHYD,0.006793483,
3HPPD,,
3HXKYNDCL,5.891e-06,
3HXKYNOXDA,0.0002399818,
3M4HDXPAC,0.0183342357,0.022771922400000002
3MLDAt,,
3MOBt2im,,
3MOPt2im,,
3MOX4HOXPGALDOX,0.0183342357,
3MOX4HOXPGALDOX_NADP_,0.026844088500000002,0.022792342900000002
3MOXTYROX,0.0002399818,
3NTD7l,0.24853666670000002,
3SALAASPm,,
3SALACBOXL,0.0002831621,
3SALAOX,,
3SALATAi,14.548897816199998,
3SALATAim,3.4457967705000003,
3SPYRSP,,
3SPYRSPm,,
41R1H2MAE12BOOX,0.0002399818,
41R2A1H12BOOX,0.0002399818,
42A12BOOX,0.00029680740000000003,
4ABUTtm,,
4HBZCOAFm,,
4HBZFm,,
4HDEBRISOQUINEte,,
4HGLSDm,0.0021246973999999997,
4HOXPACDOX_NADP_,0.026844088500000002,0.023286387999999998
4MOPt2im,,
4MPTNLte,,
4MPTNLtm,,
4MPTNLtr,,
4MTOLBUTAMIDEte,,
4NPHSFte,,
4NPHSULT,0.0146645991,
4NPHte,,
4PYRDX,,
5ADTSTSTERONEGLCte,,
5ADTSTSTERONEGLCtr,,
5ADTSTSTERONESte,,
5ADTSTSTERONESULT,2.8796e-06,
5ADTSTSTERONEte,,
5ADTSTSTERONEtr,,
5AOPtm,,
5DHFtl,,
5FTHFt2,,
5HLTDL,4.2659999999999997e-07,
5HOMEPRAZOLEte,,
5HOXINDACTO2OX,5.467e-07,
5HOXINDACTOXm,0.0178986406,
5HOXINOXDA,0.0016252184,
5HTRPDOX,0.0007454202000000001,
5HTRPVESSEC,,
5HXKYNDCL,4.2939999999999997e-07,
5HXKYNOXDA,0.0002399818,
5MTHFt,,
5MTHFt2,,
5THFtl,,
5THFtm,,
6DHFtl,,
6DHFtm,,
6HTSTSTERONEte,,
6HTSTSTERONEtr,,
6THFtl,,
6THFtm,,
7DHCHSTEROLtr,,
7DHFtl,,
7DHFtm,,
7THFtl,,
7THFtm,,
A_MANASE,0.021650843399999998,
A_MANASEly,0.6022110745,
A4GALTc,1.0406700000000002e-05,
A4GALTg,3.1335300000000005e-05,
A4GNT1g,3.08e-08,
A4GNT2g,,
AACTOOR,0.00011432510000000001,
AACTtm,,
AASAD3m,,
AATAi,0.0,0.0
ABO1g,1.55212e-05,
ABO2g,,
ABO3g,,
ABO4g,,
ABO5g,,
ABO6g,,
ABO7g,,
ABO8g,,
ABO9g,,
ABTArm,5.7218e-05,0.008019475
ABTD,,
ABTti,,
ABUTt2rL,,
ABUTt4_2_r,,
ACACT10m,0.1605783002,0.0114309976
ACACT1rm,0.0045083243,
ACACT1x,6.713449999999999e-05,
ACACt2m,,
ACACT4p,0.0043270007,
ACACT5p,0.0043270007,
ACACT6p,0.0043270007,
ACACT7p,0.0043270007,
ACACT8p,0.0043270007,
ACACT9p,0.0043270007,
ACACtx,,
ACALDtm,,
