REACTION,FORWARD [mmol/gDW/hr],REVERSE [mmol/gDW/hr]
10FTHF5GLUtl,,
10FTHF5GLUtm,,
10FTHF6GLUtl,,
10FTHF6GLUtm,,
10FTHF7GLUtl,,
10FTHF7GLUtm,,
10FTHFtl,,
10FTHFtm,,
11DOCRTSLtm,,
11DOCRTSLtr,,
11DOCRTSTRNtm,,
11DOCRTSTRNtr,,
13DAMPPOX,0.2247359115,
1a_24_25VITD2Hm,,
1a_24_25VITD3Hm,,
1a_25VITD2Hm,,
1a_25VITD3Hm,,
1MNCAMti,,
1PPDCRp,,
24_25DHVITD2t,,
24_25DHVITD2tm,,
24_25DHVITD3t,,
24_25DHVITD3tm,,
24_25VITD2Hm,,
24_25VITD3Hm,,
24NPHte,,
25HVITD2t,,
25HVITD2tin,,
25HVITD2tin_m,,
25HVITD2tm,,
25HVITD3t,,
25HVITD3tin_m,,
25HVITD3tm,,
25VITD2Hm,,
25VITD3Hm,,
2AMACHYD,,
2AMACSULT,,
2AMADPTm,,
2DR1PP,,
2HBO,1.5552355899,8.100590373200001
2HBt2,,
2HCO3_NAt,,
2MCITt,,
2OXOADOXm,1.2428108559,
2OXOADPTm,,
34DHOXPEGOX,1.8939454213,0.0088755482
34DHOXPEGt,,
34DHPHAMT,0.0014586420999999998,
34DHPHEt,,
34DHPLACOX,0.0024212989,
34DHPLACOX_NADP_,0.0035251455,0.0030328294
34DHXMANDACOX,0.0024204454,
34DHXMANDACOX_NADP_,0.0026657703999999997,0.0022824012
34HPLFM,,
34HPPOR,1.5998e-06,
35CGMPtn,,
3AIBTm,23.652412313899998,0.1687572116
3AIBtmi,,
3DPHBH1,,
3DPHBH2,,
3DSPHR,0.0010008921,
3HAO,0.00038734550000000005,
3HBCDm,0.0002983048,0.0002535177
3HBCOAHLm,,
3HKYNAKGAT,0.0001143876,
3HLYTCL,7.358e-07,
3HPCOAHYD,0.013937638899999999,
3HPPD,,
3HXKYNDCL,0.0001483644,
3HXKYNOXDA,0.0150177215,
3M4HDXPAC,0.0024212989,0.0030073591
3MLDAt,,
3MOBt2im,,
3MOPt2im,,
3MOX4HOXPGALDOX,0.0024212989,
3MOX4HOXPGALDOX_NADP_,0.0035451470000000002,0.0030100559
3MOXTYROX,0.0150177215,
3NTD7l,0.0296026452,
3SALAASPm,,
3SALACBOXL,0.0072174277,
3SALAOX,,
3SALATAi,17.2249299669,
3SALATAim,4.5163356453,
3SPYRSP,,
3SPYRSPm,,
41R1H2MAE12BOOX,0.0150177215,
41R2A1H12BOOX,0.0150177215,
42A12BOOX,0.012429702800000001,
4ABUTtm,,
4HBZCOAFm,,
4HBZFm,,
4HDEBRISOQUINEte,,
4HGLSDm,0.0022510065,
4HOXPACDOX_NADP_,0.0035451470000000002,0.0030753015999999997
4MOPt2im,,
4MPTNLte,,
4MPTNLtm,,
4MPTNLtr,,
4MTOLBUTAMIDEte,,
4NPHSFte,,
4NPHSULT,0.0172451869,
4NPHte,,
4PYRDX,,
5ADTSTSTERONEGLCte,,
5ADTSTSTERONEGLCtr,,
5ADTSTSTERONESte,,
5ADTSTSTERONESULT,2.8796e-06,
5ADTSTSTERONEte,,
5ADTSTSTERONEtr,,
5AOPtm,,
5DHFtl,,
5FTHFt2,,
5HLTDL,1.07434e-05,
5HOMEPRAZOLEte,,
5HOXINDACTO2OX,1.14e-08,
5HOXINDACTOXm,0.1454246359,
5HOXINOXDA,0.1017038485,
5HTRPDOX,0.00031415400000000003,
5HTRPVESSEC,,
5HXKYNDCL,1.08149e-05,
5HXKYNOXDA,0.0150177215,
5MTHFt,,
5MTHFt2,,
5THFtl,,
5THFtm,,
6DHFtl,,
6DHFtm,,
6HTSTSTERONEte,,
6HTSTSTERONEtr,,
6THFtl,,
6THFtm,,
7DHCHSTEROLtr,,
7DHFtl,,
7DHFtm,,
7THFtl,,
7THFtm,,
A_MANASE,0.0084617954,
A_MANASEly,0.0567378713,
A4GALTc,2.44592e-05,
A4GALTg,7.36485e-05,
A4GNT1g,2.2949999999999998e-07,
A4GNT2g,,
AACTOOR,5.0976999999999995e-06,
AACTtm,,
AASAD3m,,
AATAi,0.0,0.0
ABO1g,4.1158599999999996e-05,
ABO2g,,
ABO3g,,
ABO4g,,
ABO5g,,
ABO6g,,
ABO7g,,
ABO8g,,
ABO9g,,
ABTArm,0.1687572116,23.652412313899998
ABTD,,
ABTti,,
ABUTt2rL,,
ABUTt4_2_r,,
ACACT10m,0.23925254640000002,0.0170315372
ACACT1rm,0.0084433322,
ACACT1x,0.0027113121999999996,
ACACt2m,,
ACACT4p,0.011470708,
ACACT5p,0.011470708,
ACACT6p,0.011470708,
ACACT7p,0.011470708,
ACACT8p,0.011470708,
ACACT9p,0.011470708,
ACACtx,,
ACALDtm,,
ACALDtr,,
ACALDtx,,
