REACTION,FORWARD [mmol/gDW/hr],REVERSE [mmol/gDW/hr]
10FTHF5GLUtl,,
10FTHF5GLUtm,,
10FTHF6GLUtl,,
10FTHF6GLUtm,,
10FTHF7GLUtl,,
10FTHF7GLUtm,,
10FTHFtl,,
10FTHFtm,,
11DOCRTSLtm,,
11DOCRTSLtr,,
11DOCRTSTRNtm,,
11DOCRTSTRNtr,,
13DAMPPOX,14.369180334400001,
1a_24_25VITD2Hm,,
1a_24_25VITD3Hm,,
1a_25VITD2Hm,,
1a_25VITD3Hm,,
1MNCAMti,,
1PPDCRp,,
24_25DHVITD2t,,
24_25DHVITD2tm,,
24_25DHVITD3t,,
24_25DHVITD3tm,,
24_25VITD2Hm,,
24_25VITD3Hm,,
24NPHte,,
25HVITD2t,,
25HVITD2tin,,
25HVITD2tin_m,,
25HVITD2tm,,
25HVITD3t,,
25HVITD3tin_m,,
25HVITD3tm,,
25VITD2Hm,,
25VITD3Hm,,
2AMACHYD,,
2AMACSULT,,
2AMADPTm,,
2DR1PP,,
2HBO,3.7222315547000004,19.387592011600002
2HBt2,,
2HCO3_NAt,,
2MCITt,,
2OXOADOXm,0.31992298059999996,
2OXOADPTm,,
34DHOXPEGOX,1.1812924623,0.0055358607999999995
34DHOXPEGt,,
34DHPHAMT,0.0018710537,
34DHPHEt,,
34DHPLACOX,0.004743289699999999,
34DHPLACOX_NADP_,0.005246999499999999,0.0045142121000000006
34DHXMANDACOX,0.0017981247,
34DHXMANDACOX_NADP_,0.005243694300000001,0.0044895892
34HPLFM,,
34HPPOR,1.1860299999999999e-05,
35CGMPtn,,
3AIBTm,0.007198496899999999,5.13604e-05
3AIBtmi,,
3DPHBH1,,
3DPHBH2,,
3DSPHR,0.0005155766,
3HAO,0.0025048688,
3HBCDm,0.0131461697,0.0111724197
3HBCOAHLm,,
3HKYNAKGAT,0.0001143876,
3HLYTCL,1.7000000000000001e-09,
3HPCOAHYD,0.0040016994,
3HPPD,,
3HXKYNDCL,3.332e-07,
3HXKYNOXDA,0.0347471577,
3M4HDXPAC,0.004743289699999999,0.005891373199999999
3MLDAt,,
3MOBt2im,,
3MOPt2im,,
3MOX4HOXPGALDOX,0.004743289699999999,
3MOX4HOXPGALDOX_NADP_,0.006944891999999999,0.0058966562
3MOXTYROX,0.0347471577,
3NTD7l,0.0742082122,
3SALAASPm,,
3SALACBOXL,0.00028851779999999996,
3SALAOX,,
3SALATAi,15.1240579819,
3SALATAim,9.870072374500001,
3SPYRSP,,
3SPYRSPm,,
41R1H2MAE12BOOX,0.0347471577,
41R2A1H12BOOX,0.0347471577,
42A12BOOX,0.029835042000000003,
4ABUTtm,,
4HBZCOAFm,,
4HBZFm,,
4HDEBRISOQUINEte,,
4HGLSDm,0.0023330942,
4HOXPACDOX_NADP_,0.006944891999999999,0.006024471700000001
4MOPt2im,,
4MPTNLte,,
4MPTNLtm,,
4MPTNLtr,,
4MTOLBUTAMIDEte,,
4NPHSFte,,
4NPHSULT,0.0244176336,
4NPHte,,
4PYRDX,,
5ADTSTSTERONEGLCte,,
5ADTSTSTERONEGLCtr,,
5ADTSTSTERONESte,,
5ADTSTSTERONESULT,1.7737e-06,
5ADTSTSTERONEte,,
5ADTSTSTERONEtr,,
5AOPtm,,
5DHFtl,,
5FTHFt2,,
5HLTDL,2.41e-08,
5HOMEPRAZOLEte,,
5HOXINDACTO2OX,3.904e-07,
5HOXINDACTOXm,0.023460298900000003,
5HOXINOXDA,0.2353166334,
5HTRPDOX,0.0006813169,
5HTRPVESSEC,,
5HXKYNDCL,2.4300000000000003e-08,
5HXKYNOXDA,0.0347471577,
5MTHFt,,
5MTHFt2,,
5THFtl,,
5THFtm,,
6DHFtl,,
6DHFtm,,
6HTSTSTERONEte,,
6HTSTSTERONEtr,,
6THFtl,,
6THFtm,,
7DHCHSTEROLtr,,
7DHFtl,,
7DHFtm,,
7THFtl,,
7THFtm,,
A_MANASE,0.0025507818,
A_MANASEly,0.2747532909,
A4GALTc,0.0003884521,
A4GALTg,0.0011696599,
A4GNT1g,2.1582e-06,
A4GNT2g,,
AACTOOR,0.0013041313000000001,
AACTtm,,
AASAD3m,,
AATAi,0.0,0.0
ABO1g,1.03027e-05,
ABO2g,,
ABO3g,,
ABO4g,,
ABO5g,,
ABO6g,,
ABO7g,,
ABO8g,,
ABO9g,,
ABTArm,5.13604e-05,0.007198496899999999
ABTD,,
ABTti,,
ABUTt2rL,,
ABUTt4_2_r,,
ACACT10m,0.0775251492,0.005518739399999999
ACACT1rm,0.0024057854000000003,
ACACT1x,0.00038713410000000006,
ACACt2m,,
ACACT4p,0.0240184581,
ACACT5p,0.0240184581,
ACACT6p,0.0240184581,
ACACT7p,0.0240184581,
ACACT8p,0.0240184581,
ACACT9p,0.0240184581,
ACACtx,,
