REACTION,FORWARD [mmol/gDW/hr],REVERSE [mmol/gDW/hr]
10FTHF5GLUtl,,
10FTHF5GLUtm,,
10FTHF6GLUtl,,
10FTHF6GLUtm,,
10FTHF7GLUtl,,
10FTHF7GLUtm,,
10FTHFtl,,
10FTHFtm,,
11DOCRTSLtm,,
11DOCRTSLtr,,
11DOCRTSTRNtm,,
11DOCRTSTRNtr,,
13DAMPPOX,7.8397616737,
1a_24_25VITD2Hm,,
1a_24_25VITD3Hm,,
1a_25VITD2Hm,,
1a_25VITD3Hm,,
1MNCAMti,,
1PPDCRp,,
24_25DHVITD2t,,
24_25DHVITD2tm,,
24_25DHVITD3t,,
24_25DHVITD3tm,,
24_25VITD2Hm,,
24_25VITD3Hm,,
24NPHte,,
25HVITD2t,,
25HVITD2tin,,
25HVITD2tin_m,,
25HVITD2tm,,
25HVITD3t,,
25HVITD3tin_m,,
25HVITD3tm,,
25VITD2Hm,,
25VITD3Hm,,
2AMACHYD,,
2AMACSULT,,
2AMADPTm,,
2DR1PP,,
2HBO,3.7607939652999995,19.5884479427
2HBt2,,
2HCO3_NAt,,
2MCITt,,
2OXOADOXm,1.1063362128,
2OXOADPTm,,
34DHOXPEGOX,1.1638830749,0.005454275600000001
34DHOXPEGt,,
34DHPHAMT,0.0010824875,
34DHPHEt,,
34DHPLACOX,0.0079166364,
34DHPLACOX_NADP_,0.0045967837,0.0039548044
34DHXMANDACOX,0.007007919499999999,
34DHXMANDACOX_NADP_,0.0045888302,0.003928902299999999
34HPLFM,,
34HPPOR,2.3896e-06,
35CGMPtn,,
3AIBTm,0.0300505526,0.00021440720000000002
3AIBtmi,,
3DPHBH1,,
3DPHBH2,,
3DSPHR,0.0008712126,
3HAO,0.0055926656,
3HBCDm,0.0068893878000000006,0.0058550235
3HBCOAHLm,,
3HKYNAKGAT,0.0001143876,
3HLYTCL,5.47e-08,
3HPCOAHYD,0.016980671200000002,
3HPPD,,
3HXKYNDCL,1.1023e-05,
3HXKYNOXDA,0.0089641889,
3M4HDXPAC,0.0079166364,0.0098328086
3MLDAt,,
3MOBt2im,,
3MOPt2im,,
3MOX4HOXPGALDOX,0.0079166364,
3MOX4HOXPGALDOX_NADP_,0.0115911507,0.0098416261
3MOXTYROX,0.0089641889,
3NTD7l,0.19442661530000002,
3SALAASPm,,
3SALACBOXL,0.0010471192999999999,
3SALAOX,,
3SALATAi,34.2616937363,
3SALATAim,5.5133671111,
3SPYRSP,,
3SPYRSPm,,
41R1H2MAE12BOOX,0.0089641889,
41R2A1H12BOOX,0.0089641889,
42A12BOOX,0.0080180039,
4ABUTtm,,
4HBZCOAFm,,
4HBZFm,,
4HDEBRISOQUINEte,,
4HGLSDm,0.00028990330000000004,
4HOXPACDOX_NADP_,0.0115911507,0.010054952399999999
4MOPt2im,,
4MPTNLte,,
4MPTNLtm,,
4MPTNLtr,,
4MTOLBUTAMIDEte,,
4NPHSFte,,
4NPHSULT,0.0156317868,
4NPHte,,
4PYRDX,,
5ADTSTSTERONEGLCte,,
5ADTSTSTERONEGLCtr,,
5ADTSTSTERONESte,,
5ADTSTSTERONESULT,2.8796e-06,
5ADTSTSTERONEte,,
5ADTSTSTERONEtr,,
5AOPtm,,
5DHFtl,,
5FTHFt2,,
5HLTDL,7.981999999999999e-07,
5HOMEPRAZOLEte,,
5HOXINDACTO2OX,2.8928e-05,
5HOXINDACTOXm,0.0336685362,
5HOXINOXDA,0.0607077787,
5HTRPDOX,0.0003615109,
5HTRPVESSEC,,
5HXKYNDCL,8.034999999999999e-07,
5HXKYNOXDA,0.0089641889,
5MTHFt,,
5MTHFt2,,
5THFtl,,
5THFtm,,
6DHFtl,,
6DHFtm,,
6HTSTSTERONEte,,
6HTSTSTERONEtr,,
6THFtl,,
6THFtm,,
7DHCHSTEROLtr,,
7DHFtl,,
7DHFtm,,
7THFtl,,
7THFtm,,
A_MANASE,0.004372791,
A_MANASEly,0.18146528120000002,
A4GALTc,0.0001820918,
A4GALTg,0.0005482928,
A4GNT1g,3.453e-07,
A4GNT2g,,
AACTOOR,0.0007181133,
AACTtm,,
AASAD3m,,
AATAi,0.0,0.0
ABO1g,0.0002182414,
ABO2g,,
ABO3g,,
ABO4g,,
ABO5g,,
ABO6g,,
ABO7g,,
ABO8g,,
ABO9g,,
ABTArm,0.00021440720000000002,0.0300505526
ABTD,,
ABTti,,
ABUTt2rL,,
ABUTt4_2_r,,
ACACT10m,0.0970606493,0.0069094021999999995
ACACT1rm,0.0026359265000000004,
ACACT1x,0.0004330108,
ACACt2m,,
ACACT4p,0.0054105488,
ACACT5p,0.0054105488,
ACACT6p,0.0054105488,
ACACT7p,0.0054105488,
ACACT8p,0.0054105488,
ACACT9p,0.0054105488,
ACACtx,,
ACALDtm,,
ACALDtr,,
ACALDtx,,
