REACTION,FORWARD [mmol/gDW/hr],REVERSE [mmol/gDW/hr]
10FTHF5GLUtl,,
10FTHF5GLUtm,,
10FTHF6GLUtl,,
10FTHF6GLUtm,,
10FTHF7GLUtl,,
10FTHF7GLUtm,,
10FTHFtl,,
10FTHFtm,,
11DOCRTSLtm,,
11DOCRTSLtr,,
11DOCRTSTRNtm,,
11DOCRTSTRNtr,,
13DAMPPOX,16.754603762000002,
1a_24_25VITD2Hm,,
1a_24_25VITD3Hm,,
1a_25VITD2Hm,,
1a_25VITD3Hm,,
1MNCAMti,,
1PPDCRp,,
24_25DHVITD2t,,
24_25DHVITD2tm,,
24_25DHVITD3t,,
24_25DHVITD3tm,,
24_25VITD2Hm,,
24_25VITD3Hm,,
24NPHte,,
25HVITD2t,,
25HVITD2tin,,
25HVITD2tin_m,,
25HVITD2tm,,
25HVITD3t,,
25HVITD3tin_m,,
25HVITD3tm,,
25VITD2Hm,,
25VITD3Hm,,
2AMACHYD,,
2AMACSULT,,
2AMADPTm,,
2DR1PP,,
2HBO,5.2532887043,27.362246711999997
2HBt2,,
2HCO3_NAt,,
2MCITt,,
2OXOADOXm,0.8407713655,
2OXOADPTm,,
34DHOXPEGOX,1.3416621207,0.006287396999999999
34DHOXPEGt,,
34DHPHAMT,0.0011019224,
34DHPHEt,,
34DHPLACOX,0.30669803030000004,
34DHPLACOX_NADP_,0.0068114329,0.0058601592
34DHXMANDACOX,0.3028530063,
34DHXMANDACOX_NADP_,0.0067397327,0.0057704796
34HPLFM,,
34HPPOR,2.6710000000000003e-06,
35CGMPtn,,
3AIBTm,0.2929642559,0.0020902659
3AIBtmi,,
3DPHBH1,,
3DPHBH2,,
3DSPHR,0.0003605187,
3HAO,0.0026587456,
3HBCDm,0.0145626685,0.0123762471
3HBCOAHLm,,
3HKYNAKGAT,0.0001143876,
3HLYTCL,7.22e-08,
3HPCOAHYD,0.0093044497,
3HPPD,,
3HXKYNDCL,1.45499e-05,
3HXKYNOXDA,0.0491995592,
3M4HDXPAC,0.30669803030000004,0.3809323637
3MLDAt,,
3MOBt2im,,
3MOPt2im,,
3MOX4HOXPGALDOX,0.30669803030000004,
3MOX4HOXPGALDOX_NADP_,0.4490522104,0.3812739613
3MOXTYROX,0.0491995592,
3NTD7l,1.0795594701,
3SALAASPm,,
3SALACBOXL,0.0007677102000000001,
3SALAOX,,
3SALATAi,21.512991157,
3SALATAim,5.1845794584,
3SPYRSP,,
3SPYRSPm,,
41R1H2MAE12BOOX,0.0491995592,
41R2A1H12BOOX,0.0491995592,
42A12BOOX,0.0419653605,
4ABUTtm,,
4HBZCOAFm,,
4HBZFm,,
4HDEBRISOQUINEte,,
4HGLSDm,0.0024469593,
4HOXPACDOX_NADP_,0.4490522104,0.3895384265
4MOPt2im,,
4MPTNLte,,
4MPTNLtm,,
4MPTNLtr,,
4MTOLBUTAMIDEte,,
4NPHSFte,,
4NPHSULT,0.0273435206,
4NPHte,,
4PYRDX,,
5ADTSTSTERONEGLCte,,
5ADTSTSTERONEGLCtr,,
5ADTSTSTERONESte,,
5ADTSTSTERONESULT,2.8796e-06,
5ADTSTSTERONEte,,
5ADTSTSTERONEtr,,
5AOPtm,,
5DHFtl,,
5FTHFt2,,
5HLTDL,1.0536e-06,
5HOMEPRAZOLEte,,
5HOXINDACTO2OX,2.1625e-06,
5HOXINDACTOXm,0.021768463199999998,
5HOXINOXDA,0.3331919903,
5HTRPDOX,0.0001246048,
5HTRPVESSEC,,
5HXKYNDCL,1.0606e-06,
5HXKYNOXDA,0.0491995592,
5MTHFt,,
5MTHFt2,,
5THFtl,,
5THFtm,,
6DHFtl,,
6DHFtm,,
6HTSTSTERONEte,,
6HTSTSTERONEtr,,
6THFtl,,
6THFtm,,
7DHCHSTEROLtr,,
7DHFtl,,
7DHFtm,,
7THFtl,,
7THFtm,,
A_MANASE,0.0046332711,
A_MANASEly,0.22149435,
A4GALTc,0.0001216151,
A4GALTg,0.00036619269999999996,
A4GNT1g,4.4800000000000004e-08,
A4GNT2g,,
AACTOOR,0.0015598162,
AACTtm,,
AASAD3m,,
AATAi,0.0,0.0
ABO1g,7.73342e-05,
ABO2g,,
ABO3g,,
ABO4g,,
ABO5g,,
ABO6g,,
ABO7g,,
ABO8g,,
ABO9g,,
ABTArm,0.0020902659,0.2929642559
ABTD,,
ABTti,,
ABUTt2rL,,
ABUTt4_2_r,,
ACACT10m,0.0958049574,0.0068200139000000005
ACACT1rm,0.0032230838,
ACACT1x,0.0006947707000000001,
ACACt2m,,
ACACT4p,0.0177083503,
ACACT5p,0.0177083503,
ACACT6p,0.0177083503,
ACACT7p,0.0177083503,
ACACT8p,0.0177083503,
ACACT9p,0.0177083503,
ACACtx,,
ACALDtm,,
ACALDtr,,
ACALDtx,,
