REACTION,FORWARD [mmol/gDW/hr],REVERSE [mmol/gDW/hr]
10FTHF5GLUtl,,
10FTHF5GLUtm,,
10FTHF6GLUtl,,
10FTHF6GLUtm,,
10FTHF7GLUtl,,
10FTHF7GLUtm,,
10FTHFtl,,
10FTHFtm,,
11DOCRTSLtm,,
11DOCRTSLtr,,
11DOCRTSTRNtm,,
11DOCRTSTRNtr,,
13DAMPPOX,0.9139234973,
1a_24_25VITD2Hm,,
1a_24_25VITD3Hm,,
1a_25VITD2Hm,,
1a_25VITD3Hm,,
1MNCAMti,,
1PPDCRp,,
24_25DHVITD2t,,
24_25DHVITD2tm,,
24_25DHVITD3t,,
24_25DHVITD3tm,,
24_25VITD2Hm,,
24_25VITD3Hm,,
24NPHte,,
25HVITD2t,,
25HVITD2tin,,
25HVITD2tin_m,,
25HVITD2tm,,
25HVITD3t,,
25HVITD3tin_m,,
25HVITD3tm,,
25VITD2Hm,,
25VITD3Hm,,
2AMACHYD,,
2AMACSULT,,
2AMADPTm,,
2DR1PP,,
2HBO,20.6358094083,107.4835479101
2HBt2,,
2HCO3_NAt,,
2MCITt,,
2OXOADOXm,0.6583665878,
2OXOADPTm,,
34DHOXPEGOX,1.6628190022999998,0.0077924263
34DHOXPEGt,,
34DHPHAMT,0.0006271795,
34DHPHEt,,
34DHPLACOX,0.018257612,
34DHPLACOX_NADP_,0.0213721664,0.0183873642
34DHXMANDACOX,0.0042894795,
34DHXMANDACOX_NADP_,0.0209893405,0.0179708257
34HPLFM,,
34HPPOR,3.4919e-06,
35CGMPtn,,
3AIBTm,0.0008028501,5.7282000000000005e-06
3AIBtmi,,
3DPHBH1,,
3DPHBH2,,
3DSPHR,0.0006691799000000001,
3HAO,0.0007215939,
3HBCDm,0.0036967458000000003,0.0031417208
3HBCOAHLm,,
3HKYNAKGAT,0.0001143876,
3HLYTCL,1.3e-09,
3HPCOAHYD,0.0080987004,
3HPPD,,
3HXKYNDCL,2.609e-07,
3HXKYNOXDA,0.0289248469,
3M4HDXPAC,0.018257612,0.022676752400000003
3MLDAt,,
3MOBt2im,,
3MOPt2im,,
3MOX4HOXPGALDOX,0.018257612,
3MOX4HOXPGALDOX_NADP_,0.0267318998,0.0226970875
3MOXTYROX,0.0289248469,
3NTD7l,0.0729721895,
3SALAASPm,,
3SALACBOXL,0.00038165919999999997,
3SALAOX,,
3SALATAi,22.8250127404,
3SALATAim,6.5592751258,
3SPYRSP,,
3SPYRSPm,,
41R1H2MAE12BOOX,0.0289248469,
41R2A1H12BOOX,0.0289248469,
42A12BOOX,0.0239775724,
4ABUTtm,,
4HBZCOAFm,,
4HBZFm,,
4HDEBRISOQUINEte,,
4HGLSDm,0.0008807652,
4HOXPACDOX_NADP_,0.0267318998,0.0231890679
4MOPt2im,,
4MPTNLte,,
4MPTNLtm,,
4MPTNLtr,,
4MTOLBUTAMIDEte,,
4NPHSFte,,
4NPHSULT,0.0149954606,
4NPHte,,
4PYRDX,,
5ADTSTSTERONEGLCte,,
5ADTSTSTERONEGLCtr,,
5ADTSTSTERONESte,,
5ADTSTSTERONESULT,1.7678999999999998e-06,
5ADTSTSTERONEte,,
5ADTSTSTERONEtr,,
5AOPtm,,
5DHFtl,,
5FTHFt2,,
5HLTDL,1.89e-08,
5HOMEPRAZOLEte,,
5HOXINDACTO2OX,6.070000000000001e-08,
5HOXINDACTOXm,0.0316809725,
5HOXINOXDA,0.1958864562,
5HTRPDOX,0.0035764352000000003,
5HTRPVESSEC,,
5HXKYNDCL,1.8999999999999998e-08,
5HXKYNOXDA,0.0289248469,
5MTHFt,,
5MTHFt2,,
5THFtl,,
5THFtm,,
6DHFtl,,
6DHFtm,,
6HTSTSTERONEte,,
6HTSTSTERONEtr,,
6THFtl,,
6THFtm,,
7DHCHSTEROLtr,,
7DHFtl,,
7DHFtm,,
7THFtl,,
7THFtm,,
A_MANASE,0.0054230668,
A_MANASEly,0.0277101836,
A4GALTc,9.52271e-05,
A4GALTg,0.0002867363,
A4GNT1g,2.1582e-06,
A4GNT2g,,
AACTOOR,8.004569999999999e-05,
AACTtm,,
AASAD3m,,
AATAi,0.0,0.0
ABO1g,1.99975e-05,
ABO2g,,
ABO3g,,
ABO4g,,
ABO5g,,
ABO6g,,
ABO7g,,
ABO8g,,
ABO9g,,
ABTArm,5.7282000000000005e-06,0.0008028501
ABTD,,
ABTti,,
ABUTt2rL,,
ABUTt4_2_r,,
ACACT10m,0.0779768942,0.0055508976
ACACT1rm,0.0020313541,
ACACT1x,0.0009718341999999999,
ACACt2m,,
ACACT4p,0.0031472482,
ACACT5p,0.0031472482,
ACACT6p,0.0031472482,
ACACT7p,0.0031472482,
ACACT8p,0.0031472482,
ACACT9p,0.0031472482,
ACACtx,,
ACALDtm,,
ACALDtr,,
ACALDtx,,
