REACTION,FORWARD [mmol/gDW/hr],REVERSE [mmol/gDW/hr]
10FTHF5GLUtl,,
10FTHF5GLUtm,,
10FTHF6GLUtl,,
10FTHF6GLUtm,,
10FTHF7GLUtl,,
10FTHF7GLUtm,,
10FTHFtl,,
10FTHFtm,,
11DOCRTSLtm,,
11DOCRTSLtr,,
11DOCRTSTRNtm,,
11DOCRTSTRNtr,,
13DAMPPOX,1.9669825475999998,
1a_24_25VITD2Hm,,
1a_24_25VITD3Hm,,
1a_25VITD2Hm,,
1a_25VITD3Hm,,
1MNCAMti,,
1PPDCRp,,
24_25DHVITD2t,,
24_25DHVITD2tm,,
24_25DHVITD3t,,
24_25DHVITD3tm,,
24_25VITD2Hm,,
24_25VITD3Hm,,
24NPHte,,
25HVITD2t,,
25HVITD2tin,,
25HVITD2tin_m,,
25HVITD2tm,,
25HVITD3t,,
25HVITD3tin_m,,
25HVITD3tm,,
25VITD2Hm,,
25VITD3Hm,,
2AMACHYD,,
2AMACSULT,,
2AMADPTm,,
2DR1PP,,
2HBO,7.5179881795000005,39.158146244499996
2HBt2,,
2HCO3_NAt,,
2MCITt,,
2OXOADOXm,0.564376852,
2OXOADPTm,,
34DHOXPEGOX,1.1239421983,0.0052671017
34DHOXPEGt,,
34DHPHAMT,0.0036900031,
34DHPHEt,,
34DHPLACOX,0.1224665886,
34DHPLACOX_NADP_,0.1673633056,0.1439896172
34DHXMANDACOX,0.0474536911,
34DHXMANDACOX_NADP_,0.1603174211,0.13726188460000002
34HPLFM,,
34HPPOR,2.9536e-06,
35CGMPtn,,
3AIBTm,0.8829240618,0.006299560500000001
3AIBtmi,,
3DPHBH1,,
3DPHBH2,,
3DSPHR,0.00039051410000000004,
3HAO,0.0050485239,
3HBCDm,0.006154960699999999,0.0052308624
3HBCOAHLm,,
3HKYNAKGAT,0.0001143876,
3HLYTCL,3.2957e-06,
3HPCOAHYD,0.0095934457,
3HPPD,,
3HXKYNDCL,0.0006645278999999999,
3HXKYNOXDA,0.10777336609999999,
3M4HDXPAC,0.1224665886,0.1521088577
3MLDAt,,
3MOBt2im,,
3MOPt2im,,
3MOX4HOXPGALDOX,0.1224665886,
3MOX4HOXPGALDOX_NADP_,0.17930957120000002,0.1522452599
3MOXTYROX,0.10777336609999999,
3NTD7l,0.028306522599999998,
3SALAASPm,,
3SALACBOXL,0.0002743887,
3SALAOX,,
3SALATAi,23.1488570769,
3SALATAim,13.7715240068,
3SPYRSP,,
3SPYRSPm,,
41R1H2MAE12BOOX,0.10777336609999999,
41R2A1H12BOOX,0.10777336609999999,
42A12BOOX,0.0892281916,
4ABUTtm,,
4HBZCOAFm,,
4HBZFm,,
4HDEBRISOQUINEte,,
4HGLSDm,0.0112325491,
4HOXPACDOX_NADP_,0.17930957120000002,0.1555453165
4MOPt2im,,
4MPTNLte,,
4MPTNLtm,,
4MPTNLtr,,
4MTOLBUTAMIDEte,,
4NPHSFte,,
4NPHSULT,0.10285289130000001,
4NPHte,,
4PYRDX,,
5ADTSTSTERONEGLCte,,
5ADTSTSTERONEGLCtr,,
5ADTSTSTERONESte,,
5ADTSTSTERONESULT,5.4836e-06,
5ADTSTSTERONEte,,
5ADTSTSTERONEtr,,
5AOPtm,,
5DHFtl,,
5FTHFt2,,
5HLTDL,4.81197e-05,
5HOMEPRAZOLEte,,
5HOXINDACTO2OX,6e-10,
5HOXINDACTOXm,0.0133627903,
5HOXINOXDA,0.7298687816,
5HTRPDOX,3.6060000000000004e-07,
5HTRPVESSEC,,
5HXKYNDCL,4.8440100000000004e-05,
5HXKYNOXDA,0.10777336609999999,
5MTHFt,,
5MTHFt2,,
5THFtl,,
5THFtm,,
6DHFtl,,
6DHFtm,,
6HTSTSTERONEte,,
6HTSTSTERONEtr,,
6THFtl,,
6THFtm,,
7DHCHSTEROLtr,,
7DHFtl,,
7DHFtm,,
7THFtl,,
7THFtm,,
A_MANASE,0.0028944465000000003,
A_MANASEly,0.0625042685,
A4GALTc,0.0010483463,
A4GALTg,0.0031566534000000003,
A4GNT1g,1.56e-08,
A4GNT2g,,
AACTOOR,0.00011847049999999999,
AACTtm,,
AASAD3m,,
AATAi,0.0,0.0
ABO1g,0.0005622380000000001,
ABO2g,,
ABO3g,,
ABO4g,,
ABO5g,,
ABO6g,,
ABO7g,,
ABO8g,,
ABO9g,,
ABTArm,0.006299560500000001,0.8829240618
ABTD,,
ABTti,,
ABUTt2rL,,
ABUTt4_2_r,,
ACACT10m,0.1409002332,0.0100301861
ACACT1rm,0.0046460602000000005,
ACACT1x,0.0005849569000000001,
ACACt2m,,
ACACT4p,0.0550743779,
ACACT5p,0.0550743779,
ACACT6p,0.0550743779,
ACACT7p,0.0550743779,
ACACT8p,0.0550743779,
ACACT9p,0.0550743779,
ACACtx,,
ACALDtm,,
