REACTION,FORWARD [mmol/gDW/hr],REVERSE [mmol/gDW/hr]
10FTHF5GLUtl,,
10FTHF5GLUtm,,
10FTHF6GLUtl,,
10FTHF6GLUtm,,
10FTHF7GLUtl,,
10FTHF7GLUtm,,
10FTHFtl,,
10FTHFtm,,
11DOCRTSLtm,,
11DOCRTSLtr,,
11DOCRTSTRNtm,,
11DOCRTSTRNtr,,
13DAMPPOX,4.7961377482,
1a_24_25VITD2Hm,,
1a_24_25VITD3Hm,,
1a_25VITD2Hm,,
1a_25VITD3Hm,,
1MNCAMti,,
1PPDCRp,,
24_25DHVITD2t,,
24_25DHVITD2tm,,
24_25DHVITD3t,,
24_25DHVITD3tm,,
24_25VITD2Hm,,
24_25VITD3Hm,,
24NPHte,,
25HVITD2t,,
25HVITD2tin,,
25HVITD2tin_m,,
25HVITD2tm,,
25HVITD3t,,
25HVITD3tin_m,,
25HVITD3tm,,
25VITD2Hm,,
25VITD3Hm,,
2AMACHYD,,
2AMACSULT,,
2AMADPTm,,
2DR1PP,,
2HBO,7.5452164233,39.2999671046
2HBt2,,
2HCO3_NAt,,
2MCITt,,
2OXOADOXm,1.0596746548,
2OXOADPTm,,
34DHOXPEGOX,1.1388216753,0.005336830999999999
34DHOXPEGt,,
34DHPHAMT,0.003265362,
34DHPHEt,,
34DHPLACOX,0.4562905667,
34DHPLACOX_NADP_,0.6664449229,0.5733703036
34DHXMANDACOX,0.0082910307,
34DHXMANDACOX_NADP_,0.6664444936,0.5706019133
34HPLFM,,
34HPPOR,3.9568e-06,
35CGMPtn,,
3AIBTm,0.0639195289,0.0004560584
3AIBtmi,,
3DPHBH1,,
3DPHBH2,,
3DSPHR,0.0006029212,
3HAO,0.0009818263,
3HBCDm,0.0020376098,0.0017316856
3HBCOAHLm,,
3HKYNAKGAT,0.0001143876,
3HLYTCL,2.8e-08,
3HPCOAHYD,0.0175798168,
3HPPD,,
3HXKYNDCL,5.6427e-06,
3HXKYNOXDA,0.0010775435,
3M4HDXPAC,0.4562905667,0.5667328346
3MLDAt,,
3MOBt2im,,
3MOPt2im,,
3MOX4HOXPGALDOX,0.4562905667,
3MOX4HOXPGALDOX_NADP_,0.6680782637,0.5672410471
3MOXTYROX,0.0010775435,
3NTD7l,0.09817398109999999,
3SALAASPm,,
3SALACBOXL,0.0008219500999999999,
3SALAOX,,
3SALATAi,19.596401157,
3SALATAim,5.4992729647,
3SPYRSP,,
3SPYRSPm,,
41R1H2MAE12BOOX,0.0010775435,
41R2A1H12BOOX,0.0010775435,
42A12BOOX,0.0012631919,
4ABUTtm,,
4HBZCOAFm,,
4HBZFm,,
4HDEBRISOQUINEte,,
4HGLSDm,0.024701146,
4HOXPACDOX_NADP_,0.6680782637,0.5795365206
4MOPt2im,,
4MPTNLte,,
4MPTNLtm,,
4MPTNLtr,,
4MTOLBUTAMIDEte,,
4NPHSFte,,
4NPHSULT,0.026702647000000003,
4NPHte,,
4PYRDX,,
5ADTSTSTERONEGLCte,,
5ADTSTSTERONEGLCtr,,
5ADTSTSTERONESte,,
5ADTSTSTERONESULT,1.7554e-06,
5ADTSTSTERONEte,,
5ADTSTSTERONEtr,,
5AOPtm,,
5DHFtl,,
5FTHFt2,,
5HLTDL,4.086e-07,
5HOMEPRAZOLEte,,
5HOXINDACTO2OX,2.36e-08,
5HOXINDACTOXm,0.1142040143,
5HOXINOXDA,0.007297399699999999,
5HTRPDOX,7.23867e-05,
5HTRPVESSEC,,
5HXKYNDCL,4.1130000000000004e-07,
5HXKYNOXDA,0.0010775435,
5MTHFt,,
5MTHFt2,,
5THFtl,,
5THFtm,,
6DHFtl,,
6DHFtm,,
6HTSTSTERONEte,,
6HTSTSTERONEtr,,
6THFtl,,
6THFtm,,
7DHCHSTEROLtr,,
7DHFtl,,
7DHFtm,,
7THFtl,,
7THFtm,,
A_MANASE,0.0008725583,
A_MANASEly,0.0843855618,
A4GALTc,2.34293e-05,
A4GALTg,7.05474e-05,
A4GNT1g,9.7e-09,
A4GNT2g,,
AACTOOR,0.00044420589999999996,
AACTtm,,
AASAD3m,,
AATAi,0.0,0.0
ABO1g,6.35178e-05,
ABO2g,,
ABO3g,,
ABO4g,,
ABO5g,,
ABO6g,,
ABO7g,,
ABO8g,,
ABO9g,,
ABTArm,0.0004560584,0.0639195289
ABTD,,
ABTti,,
ABUTt2rL,,
ABUTt4_2_r,,
ACACT10m,0.11778310480000001,0.00838456
ACACT1rm,0.0040016986,
ACACT1x,0.0008936791999999999,
ACACt2m,,
ACACT4p,0.0106799087,
ACACT5p,0.0106799087,
ACACT6p,0.0106799087,
ACACT7p,0.0106799087,
ACACT8p,0.0106799087,
ACACT9p,0.0106799087,
ACACtx,,
ACALDtm,,
ACALDtr,,
ACALDtx,,
ACCOACm,8.908099999999999e-06,
