REACTION,FORWARD [mmol/gDW/hr],REVERSE [mmol/gDW/hr]
10FTHF5GLUtl,,
10FTHF5GLUtm,,
10FTHF6GLUtl,,
10FTHF6GLUtm,,
10FTHF7GLUtl,,
10FTHF7GLUtm,,
10FTHFtl,,
10FTHFtm,,
11DOCRTSLtm,,
11DOCRTSLtr,,
11DOCRTSTRNtm,,
11DOCRTSTRNtr,,
13DAMPPOX,11.3194088646,
1a_24_25VITD2Hm,,
1a_24_25VITD3Hm,,
1a_25VITD2Hm,,
1a_25VITD3Hm,,
1MNCAMti,,
1PPDCRp,,
24_25DHVITD2t,,
24_25DHVITD2tm,,
24_25DHVITD3t,,
24_25DHVITD3tm,,
24_25VITD2Hm,,
24_25VITD3Hm,,
24NPHte,,
25HVITD2t,,
25HVITD2tin,,
25HVITD2tin_m,,
25HVITD2tm,,
25HVITD3t,,
25HVITD3tin_m,,
25HVITD3tm,,
25VITD2Hm,,
25VITD3Hm,,
2AMACHYD,,
2AMACSULT,,
2AMADPTm,,
2DR1PP,,
2HBO,13.702372625499999,71.3700924176
2HBt2,,
2HCO3_NAt,,
2MCITt,,
2OXOADOXm,0.8537428091,
2OXOADPTm,,
34DHOXPEGOX,3.7703296049,0.0176687995
34DHOXPEGt,,
34DHPHAMT,0.0008829086,
34DHPHEt,,
34DHPLACOX,0.0157445859,
34DHPLACOX_NADP_,0.021249461,0.0182817957
34DHXMANDACOX,0.015155670500000001,
34DHXMANDACOX_NADP_,0.0210077875,0.0179866198
34HPLFM,,
34HPPOR,5.4126e-06,
35CGMPtn,,
3AIBTm,0.1143327559,0.0008157508999999999
3AIBtmi,,
3DPHBH1,,
3DPHBH2,,
3DSPHR,0.0002376414,
3HAO,0.0044889546,
3HBCDm,0.0093190435,0.0079198936
3HBCOAHLm,,
3HKYNAKGAT,0.0001143876,
3HLYTCL,7.4584000000000005e-06,
3HPCOAHYD,0.009079221,
3HPPD,,
3HXKYNDCL,0.0015038814000000002,
3HXKYNOXDA,0.0403569512,
3M4HDXPAC,0.0157445859,0.0195554641
3MLDAt,,
3MOBt2im,,
3MOPt2im,,
3MOX4HOXPGALDOX,0.0157445859,
3MOX4HOXPGALDOX_NADP_,0.0230524503,0.0195730003
3MOXTYROX,0.0403569512,
3NTD7l,0.11476559880000001,
3SALAASPm,,
3SALACBOXL,0.0002369005,
3SALAOX,,
3SALATAi,26.285564860900003,
3SALATAim,4.673978425,
3SPYRSP,,
3SPYRSPm,,
41R1H2MAE12BOOX,0.0403569512,
41R2A1H12BOOX,0.0403569512,
42A12BOOX,0.0342346465,
4ABUTtm,,
4HBZCOAFm,,
4HBZFm,,
4HDEBRISOQUINEte,,
4HGLSDm,0.0003826025,
4HOXPACDOX_NADP_,0.0230524503,0.0199972632
4MOPt2im,,
4MPTNLte,,
4MPTNLtm,,
4MPTNLtr,,
4MTOLBUTAMIDEte,,
4NPHSFte,,
4NPHSULT,0.051756269,
4NPHte,,
4PYRDX,,
5ADTSTSTERONEGLCte,,
5ADTSTSTERONEGLCtr,,
5ADTSTSTERONESte,,
5ADTSTSTERONESULT,2.8796e-06,
5ADTSTSTERONEte,,
5ADTSTSTERONEtr,,
5AOPtm,,
5DHFtl,,
5FTHFt2,,
5HLTDL,0.000108899,
5HOMEPRAZOLEte,,
5HOXINDACTO2OX,1.2217e-06,
5HOXINDACTOXm,0.1007064121,
5HOXINOXDA,0.27330758899999996,
5HTRPDOX,0.0018169425,
5HTRPVESSEC,,
5HXKYNDCL,0.0001096239,
5HXKYNOXDA,0.0403569512,
5MTHFt,,
5MTHFt2,,
5THFtl,,
5THFtm,,
6DHFtl,,
6DHFtm,,
6HTSTSTERONEte,,
6HTSTSTERONEtr,,
6THFtl,,
6THFtm,,
7DHCHSTEROLtr,,
7DHFtl,,
7DHFtm,,
7THFtl,,
7THFtm,,
A_MANASE,0.002417654,
A_MANASEly,0.1389510071,
A4GALTc,9.7445e-05,
A4GALTg,0.00029341459999999997,
A4GNT1g,8.97e-08,
A4GNT2g,,
AACTOOR,0.0010516396,
AACTtm,,
AASAD3m,,
AATAi,0.0,0.0
ABO1g,0.0072771255,
ABO2g,,
ABO3g,,
ABO4g,,
ABO5g,,
ABO6g,,
ABO7g,,
ABO8g,,
ABO9g,,
ABTArm,0.0008157508999999999,0.1143327559
ABTD,,
ABTti,,
ABUTt2rL,,
ABUTt4_2_r,,
ACACT10m,0.1109938833,0.007901259499999999
ACACT1rm,0.0032934196000000003,
ACACT1x,0.0007768555000000001,
ACACt2m,,
ACACT4p,0.0058058432999999994,
ACACT5p,0.0058058432999999994,
ACACT6p,0.0058058432999999994,
ACACT7p,0.0058058432999999994,
ACACT8p,0.0058058432999999994,
ACACT9p,0.0058058432999999994,
ACACtx,,
ACALDtm,,
ACALDtr,,
ACALDtx,,
