REACTION,FORWARD [mmol/gDW/hr],REVERSE [mmol/gDW/hr]
10FTHF5GLUtl,,
10FTHF5GLUtm,,
10FTHF6GLUtl,,
10FTHF6GLUtm,,
10FTHF7GLUtl,,
10FTHF7GLUtm,,
10FTHFtl,,
10FTHFtm,,
11DOCRTSLtm,,
11DOCRTSLtr,,
11DOCRTSTRNtm,,
11DOCRTSTRNtr,,
13DAMPPOX,5.0740716641,
1a_24_25VITD2Hm,,
1a_24_25VITD3Hm,,
1a_25VITD2Hm,,
1a_25VITD3Hm,,
1MNCAMti,,
1PPDCRp,,
24_25DHVITD2t,,
24_25DHVITD2tm,,
24_25DHVITD3t,,
24_25DHVITD3tm,,
24_25VITD2Hm,,
24_25VITD3Hm,,
24NPHte,,
25HVITD2t,,
25HVITD2tin,,
25HVITD2tin_m,,
25HVITD2tm,,
25HVITD3t,,
25HVITD3tin_m,,
25HVITD3tm,,
25VITD2Hm,,
25VITD3Hm,,
2AMACHYD,,
2AMACSULT,,
2AMADPTm,,
2DR1PP,,
2HBO,8.7051195146,45.3414310967
2HBt2,,
2HCO3_NAt,,
2MCITt,,
2OXOADOXm,0.8756374805,
2OXOADPTm,,
34DHOXPEGOX,1.3234370349,0.006201989200000001
34DHOXPEGt,,
34DHPHAMT,0.0010286937,
34DHPHEt,,
34DHPLACOX,0.0153209849,
34DHPLACOX_NADP_,0.0129119671,0.0111087027
34DHXMANDACOX,0.015309718200000001,
34DHXMANDACOX_NADP_,0.0127104874,0.0108825694
34HPLFM,,
34HPPOR,3.4891e-06,
35CGMPtn,,
3AIBTm,0.09988711550000001,0.000712683
3AIBtmi,,
3DPHBH1,,
3DPHBH2,,
3DSPHR,0.0007922321000000001,
3HAO,0.0155743831,
3HBCDm,0.0013234282,0.0011247302999999999
3HBCOAHLm,,
3HKYNAKGAT,0.0001143876,
3HLYTCL,0.00017745990000000002,
3HPCOAHYD,0.0148626057,
3HPPD,,
3HXKYNDCL,0.0357820729,
3HXKYNOXDA,0.0263481123,
3M4HDXPAC,0.0153209849,0.0190293331
3MLDAt,,
3MOBt2im,,
3MOPt2im,,
3MOX4HOXPGALDOX,0.0153209849,
3MOX4HOXPGALDOX_NADP_,0.0224322344,0.0190463975
3MOXTYROX,0.0263481123,
3NTD7l,0.0677894793,
3SALAASPm,,
3SALACBOXL,0.000111565,
3SALAOX,,
3SALATAi,22.0306629617,
3SALATAim,8.6860232623,
3SPYRSP,,
3SPYRSPm,,
41R1H2MAE12BOOX,0.0263481123,
41R2A1H12BOOX,0.0263481123,
42A12BOOX,0.022171072000000003,
4ABUTtm,,
4HBZCOAFm,,
4HBZFm,,
4HDEBRISOQUINEte,,
4HGLSDm,0.00033555160000000006,
4HOXPACDOX_NADP_,0.0224322344,0.0194592457
4MOPt2im,,
4MPTNLte,,
4MPTNLtm,,
4MPTNLtr,,
4MTOLBUTAMIDEte,,
4NPHSFte,,
4NPHSULT,0.014638013600000001,
4NPHte,,
4PYRDX,,
5ADTSTSTERONEGLCte,,
5ADTSTSTERONEGLCtr,,
5ADTSTSTERONESte,,
5ADTSTSTERONESULT,1.7587e-06,
5ADTSTSTERONEte,,
5ADTSTSTERONEtr,,
5AOPtm,,
5DHFtl,,
5FTHFt2,,
5HLTDL,0.0025910488,
5HOMEPRAZOLEte,,
5HOXINDACTO2OX,1.7723e-06,
5HOXINDACTOXm,0.19165494989999998,
5HOXINOXDA,0.17843615079999997,
5HTRPDOX,0.0002448501,
5HTRPVESSEC,,
5HXKYNDCL,0.0026082974,
5HXKYNOXDA,0.0263481123,
5MTHFt,,
5MTHFt2,,
5THFtl,,
5THFtm,,
6DHFtl,,
6DHFtm,,
6HTSTSTERONEte,,
6HTSTSTERONEtr,,
6THFtl,,
6THFtm,,
7DHCHSTEROLtr,,
7DHFtl,,
7DHFtm,,
7THFtl,,
7THFtm,,
A_MANASE,0.0012234644,
A_MANASEly,0.11937941619999999,
A4GALTc,5.99012e-05,
A4GALTg,0.00018036729999999998,
A4GNT1g,5.2e-09,
A4GNT2g,,
AACTOOR,0.0004726155,
AACTtm,,
AASAD3m,,
AATAi,0.0,0.0
ABO1g,0.0012991665,
ABO2g,,
ABO3g,,
ABO4g,,
ABO5g,,
ABO6g,,
ABO7g,,
ABO8g,,
ABO9g,,
ABTArm,0.000712683,0.09988711550000001
ABTD,,
ABTti,,
ABUTt2rL,,
ABUTt4_2_r,,
ACACT10m,0.21438004370000002,0.0152609523
ACACT1rm,0.0027870913,
ACACT1x,0.0006859621000000001,
ACACt2m,,
ACACT4p,0.0067288636,
ACACT5p,0.0067288636,
ACACT6p,0.0067288636,
ACACT7p,0.0067288636,
ACACT8p,0.0067288636,
ACACT9p,0.0067288636,
ACACtx,,
ACALDtm,,
ACALDtr,,
ACALDtx,,
