REACTION,FORWARD [mmol/gDW/hr],REVERSE [mmol/gDW/hr]
10FTHF5GLUtl,,
10FTHF5GLUtm,,
10FTHF6GLUtl,,
10FTHF6GLUtm,,
10FTHF7GLUtl,,
10FTHF7GLUtm,,
10FTHFtl,,
10FTHFtm,,
11DOCRTSLtm,,
11DOCRTSLtr,,
11DOCRTSTRNtm,,
11DOCRTSTRNtr,,
13DAMPPOX,4.0733141206,
1a_24_25VITD2Hm,,
1a_24_25VITD3Hm,,
1a_25VITD2Hm,,
1a_25VITD3Hm,,
1MNCAMti,,
1PPDCRp,,
24_25DHVITD2t,,
24_25DHVITD2tm,,
24_25DHVITD3t,,
24_25DHVITD3tm,,
24_25VITD2Hm,,
24_25VITD3Hm,,
24NPHte,,
25HVITD2t,,
25HVITD2tin,,
25HVITD2tin_m,,
25HVITD2tm,,
25HVITD3t,,
25HVITD3tin_m,,
25HVITD3tm,,
25VITD2Hm,,
25VITD3Hm,,
2AMACHYD,,
2AMACSULT,,
2AMADPTm,,
2DR1PP,,
2HBO,2.8796030523000002,14.9986824607
2HBt2,,
2HCO3_NAt,,
2MCITt,,
2OXOADOXm,1.3980664700999998,
2OXOADPTm,,
34DHOXPEGOX,1.1706556020999999,0.005486013499999999
34DHOXPEGt,,
34DHPHAMT,0.0008970203999999999,
34DHPHEt,,
34DHPLACOX,0.0418414907,
34DHPLACOX_NADP_,0.032335157999999996,0.027819282200000003
34DHXMANDACOX,0.0200647991,
34DHXMANDACOX_NADP_,0.0323152717,0.0276679544
34HPLFM,,
34HPPOR,5.4127e-06,
35CGMPtn,,
3AIBTm,0.013545260200000001,9.66439e-05
3AIBtmi,,
3DPHBH1,,
3DPHBH2,,
3DSPHR,0.0008199114,
3HAO,0.0051181902,
3HBCDm,0.0009634066000000001,0.0008187619
3HBCOAHLm,,
3HKYNAKGAT,0.0001143876,
3HLYTCL,3.2957e-06,
3HPCOAHYD,0.031362280299999996,
3HPPD,,
3HXKYNDCL,0.0006645278999999999,
3HXKYNOXDA,0.0472842309,
3M4HDXPAC,0.0418414907,0.0519689609
3MLDAt,,
3MOBt2im,,
3MOPt2im,,
3MOX4HOXPGALDOX,0.0418414907,
3MOX4HOXPGALDOX_NADP_,0.061262258,0.0520155636
3MOXTYROX,0.0472842309,
3NTD7l,0.0154441344,
3SALAASPm,,
3SALACBOXL,0.0009945097,
3SALAOX,,
3SALATAi,71.8925833733,
3SALATAim,21.5387316946,
3SPYRSP,,
3SPYRSPm,,
41R1H2MAE12BOOX,0.0472842309,
41R2A1H12BOOX,0.0472842309,
42A12BOOX,0.039397164,
4ABUTtm,,
4HBZCOAFm,,
4HBZFm,,
4HDEBRISOQUINEte,,
4HGLSDm,0.001048431,
4HOXPACDOX_NADP_,0.061262258,0.053143048899999996
4MOPt2im,,
4MPTNLte,,
4MPTNLtm,,
4MPTNLtr,,
4MTOLBUTAMIDEte,,
4NPHSFte,,
4NPHSULT,0.0361090319,
4NPHte,,
4PYRDX,,
5ADTSTSTERONEGLCte,,
5ADTSTSTERONEGLCtr,,
5ADTSTSTERONESte,,
5ADTSTSTERONESULT,2.8796e-06,
5ADTSTSTERONEte,,
5ADTSTSTERONEtr,,
5AOPtm,,
5DHFtl,,
5FTHFt2,,
5HLTDL,4.81197e-05,
5HOMEPRAZOLEte,,
5HOXINDACTO2OX,2.468e-07,
5HOXINDACTOXm,0.02804198,
5HOXINOXDA,0.3202208975,
5HTRPDOX,6.14829e-05,
5HTRPVESSEC,,
5HXKYNDCL,4.8440100000000004e-05,
5HXKYNOXDA,0.0472842309,
5MTHFt,,
5MTHFt2,,
5THFtl,,
5THFtm,,
6DHFtl,,
6DHFtm,,
6HTSTSTERONEte,,
6HTSTSTERONEtr,,
6THFtl,,
6THFtm,,
7DHCHSTEROLtr,,
7DHFtl,,
7DHFtm,,
7THFtl,,
7THFtm,,
A_MANASE,0.0012662227,
A_MANASEly,0.09970498439999999,
A4GALTc,2.29461e-05,
A4GALTg,6.90927e-05,
A4GNT1g,2.1582e-06,
A4GNT2g,,
AACTOOR,0.0003586434,
AACTtm,,
AASAD3m,,
AATAi,0.0,0.0
ABO1g,4.80984e-05,
ABO2g,,
ABO3g,,
ABO4g,,
ABO5g,,
ABO6g,,
ABO7g,,
ABO8g,,
ABO9g,,
ABTArm,9.66439e-05,0.013545260200000001
ABTD,,
ABTti,,
ABUTt2rL,,
ABUTt4_2_r,,
ACACT10m,0.141312948,0.0100595658
ACACT1rm,0.0049417564,
ACACT1x,0.0012182379,
ACACt2m,,
ACACT4p,0.015123146799999999,
ACACT5p,0.015123146799999999,
ACACT6p,0.015123146799999999,
ACACT7p,0.015123146799999999,
ACACT8p,0.015123146799999999,
ACACT9p,0.015123146799999999,
ACACtx,,
ACALDtm,,
ACALDtr,,
