REACTION,FORWARD [mmol/gDW/hr],REVERSE [mmol/gDW/hr]
10FTHF5GLUtl,,
10FTHF5GLUtm,,
10FTHF6GLUtl,,
10FTHF6GLUtm,,
10FTHF7GLUtl,,
10FTHF7GLUtm,,
10FTHFtl,,
10FTHFtm,,
11DOCRTSLtm,,
11DOCRTSLtr,,
11DOCRTSTRNtm,,
11DOCRTSTRNtr,,
13DAMPPOX,2.6795277951,
1a_24_25VITD2Hm,,
1a_24_25VITD3Hm,,
1a_25VITD2Hm,,
1a_25VITD3Hm,,
1MNCAMti,,
1PPDCRp,,
24_25DHVITD2t,,
24_25DHVITD2tm,,
24_25DHVITD3t,,
24_25DHVITD3tm,,
24_25VITD2Hm,,
24_25VITD3Hm,,
24NPHte,,
25HVITD2t,,
25HVITD2tin,,
25HVITD2tin_m,,
25HVITD2tm,,
25HVITD3t,,
25HVITD3tin_m,,
25HVITD3tm,,
25VITD2Hm,,
25VITD3Hm,,
2AMACHYD,,
2AMACSULT,,
2AMADPTm,,
2DR1PP,,
2HBO,3.8655217182999997,20.1339322624
2HBt2,,
2HCO3_NAt,,
2MCITt,,
2OXOADOXm,0.1200769218,
2OXOADPTm,,
34DHOXPEGOX,0.9848455181999999,0.0046152564
34DHOXPEGt,,
34DHPHAMT,0.0036208504,
34DHPHEt,,
34DHPLACOX,0.023890808700000002,
34DHPLACOX_NADP_,0.0305616239,0.026293437000000003
34DHXMANDACOX,0.0047190393,
34DHXMANDACOX_NADP_,0.029773536099999998,0.0254917504
34HPLFM,,
34HPPOR,4.638e-07,
35CGMPtn,,
3AIBTm,0.0267177984,0.0001906284
3AIBtmi,,
3DPHBH1,,
3DPHBH2,,
3DSPHR,0.00018578049999999998,
3HAO,0.0071694498999999995,
3HBCDm,0.0127712942,0.0108538277
3HBCOAHLm,,
3HKYNAKGAT,0.0001143876,
3HLYTCL,3.2957e-06,
3HPCOAHYD,0.0102037075,
3HPPD,,
3HXKYNDCL,0.0006645278999999999,
3HXKYNOXDA,0.0705245986,
3M4HDXPAC,0.023890808700000002,0.029673428999999998
3MLDAt,,
3MOBt2im,,
3MOPt2im,,
3MOX4HOXPGALDOX,0.023890808700000002,
3MOX4HOXPGALDOX_NADP_,0.03497975,0.029700038300000002
3MOXTYROX,0.0705245986,
3NTD7l,0.0185897554,
3SALAASPm,,
3SALACBOXL,0.0005655929,
3SALAOX,,
3SALATAi,9.3842091049,
3SALATAim,6.905066822999999,
3SPYRSP,,
3SPYRSPm,,
41R1H2MAE12BOOX,0.0705245986,
41R2A1H12BOOX,0.0705245986,
42A12BOOX,0.058497199699999995,
4ABUTtm,,
4HBZCOAFm,,
4HBZFm,,
4HDEBRISOQUINEte,,
4HGLSDm,0.0017209770999999999,
4HOXPACDOX_NADP_,0.03497975,0.0303438141
4MOPt2im,,
4MPTNLte,,
4MPTNLtm,,
4MPTNLtr,,
4MTOLBUTAMIDEte,,
4NPHSFte,,
4NPHSULT,0.0239065335,
4NPHte,,
4PYRDX,,
5ADTSTSTERONEGLCte,,
5ADTSTSTERONEGLCtr,,
5ADTSTSTERONESte,,
5ADTSTSTERONESULT,1.7639e-06,
5ADTSTSTERONEte,,
5ADTSTSTERONEtr,,
5AOPtm,,
5DHFtl,,
5FTHFt2,,
5HLTDL,4.81197e-05,
5HOMEPRAZOLEte,,
5HOXINDACTO2OX,3.6e-09,
5HOXINDACTOXm,0.0039647643,
5HOXINOXDA,0.4776106074,
5HTRPDOX,3.62068e-05,
5HTRPVESSEC,,
5HXKYNDCL,4.8440100000000004e-05,
5HXKYNOXDA,0.0705245986,
5MTHFt,,
5MTHFt2,,
5THFtl,,
5THFtm,,
6DHFtl,,
6DHFtm,,
6HTSTSTERONEte,,
6HTSTSTERONEtr,,
6THFtl,,
6THFtm,,
7DHCHSTEROLtr,,
7DHFtl,,
7DHFtm,,
7THFtl,,
7THFtm,,
A_MANASE,0.0064498206,
A_MANASEly,0.17781324839999998,
A4GALTc,0.000476445,
A4GALTg,0.0014346133999999999,
A4GNT1g,1.58e-08,
A4GNT2g,,
AACTOOR,9.21041e-05,
AACTtm,,
AASAD3m,,
AATAi,0.0,0.0
ABO1g,2.94972e-05,
ABO2g,,
ABO3g,,
ABO4g,,
ABO5g,,
ABO6g,,
ABO7g,,
ABO8g,,
ABO9g,,
ABTArm,0.0001906284,0.0267177984
ABTD,,
ABTti,,
ABUTt2rL,,
ABUTt4_2_r,,
ACACT10m,0.061470133499999996,0.00437584
ACACT1rm,0.0021163079,
ACACT1x,0.0002960035,
ACACt2m,,
ACACT4p,0.0107198875,
ACACT5p,0.0107198875,
ACACT6p,0.0107198875,
ACACT7p,0.0107198875,
ACACT8p,0.0107198875,
ACACT9p,0.0107198875,
ACACtx,,
ACALDtm,,
ACALDtr,,
ACALDtx,,
