REACTION,FORWARD [mmol/gDW/hr],REVERSE [mmol/gDW/hr]
10FTHF5GLUtl,,
10FTHF5GLUtm,,
10FTHF6GLUtl,,
10FTHF6GLUtm,,
10FTHF7GLUtl,,
10FTHF7GLUtm,,
10FTHFtl,,
10FTHFtm,,
11DOCRTSLtm,,
11DOCRTSLtr,,
11DOCRTSTRNtm,,
11DOCRTSTRNtr,,
13DAMPPOX,3.754156397,
1a_24_25VITD2Hm,,
1a_24_25VITD3Hm,,
1a_25VITD2Hm,,
1a_25VITD3Hm,,
1MNCAMti,,
1PPDCRp,,
24_25DHVITD2t,,
24_25DHVITD2tm,,
24_25DHVITD3t,,
24_25DHVITD3tm,,
24_25VITD2Hm,,
24_25VITD3Hm,,
24NPHte,,
25HVITD2t,,
25HVITD2tin,,
25HVITD2tin_m,,
25HVITD2tm,,
25HVITD3t,,
25HVITD3tin_m,,
25HVITD3tm,,
25VITD2Hm,,
25VITD3Hm,,
2AMACHYD,,
2AMACSULT,,
2AMADPTm,,
2DR1PP,,
2HBO,5.465856513099999,28.4694260728
2HBt2,,
2HCO3_NAt,,
2MCITt,,
2OXOADOXm,0.8350448284,
2OXOADPTm,,
34DHOXPEGOX,0.7385917983,0.0034612439
34DHOXPEGt,,
34DHPHAMT,0.0008085735000000001,
34DHPHEt,,
34DHPLACOX,0.043351234,
34DHPLACOX_NADP_,0.024510957599999997,0.0210877969
34DHXMANDACOX,0.028912082599999996,
34DHXMANDACOX_NADP_,0.024313212999999997,0.020816686100000002
34HPLFM,,
34HPPOR,5.1196e-06,
35CGMPtn,,
3AIBTm,0.8169504521,0.0058288465
3AIBtmi,,
3DPHBH1,,
3DPHBH2,,
3DSPHR,0.0003223748,
3HAO,0.0018191019,
3HBCDm,0.0142504739,0.0121109251
3HBCOAHLm,,
3HKYNAKGAT,0.0001143876,
3HLYTCL,1e-09,
3HPCOAHYD,0.0095341744,
3HPPD,,
3HXKYNDCL,1.965e-07,
3HXKYNOXDA,0.0065070641,
3M4HDXPAC,0.043351234,0.05384412809999999
3MLDAt,,
3MOBt2im,,
3MOPt2im,,
3MOX4HOXPGALDOX,0.043351234,
3MOX4HOXPGALDOX_NADP_,0.0634727501,0.053892412300000005
3MOXTYROX,0.0065070641,
3NTD7l,0.0439451731,
3SALAASPm,,
3SALACBOXL,0.0061927106999999995,
3SALAOX,,
3SALATAi,23.4416709117,
3SALATAim,6.7709508473,
3SPYRSP,,
3SPYRSPm,,
41R1H2MAE12BOOX,0.0065070641,
41R2A1H12BOOX,0.0065070641,
42A12BOOX,0.0056697778,
4ABUTtm,,
4HBZCOAFm,,
4HBZFm,,
4HDEBRISOQUINEte,,
4HGLSDm,0.0017329936,
4HOXPACDOX_NADP_,0.0634727501,0.0550605801
4MOPt2im,,
4MPTNLte,,
4MPTNLtm,,
4MPTNLtr,,
4MTOLBUTAMIDEte,,
4NPHSFte,,
4NPHSULT,0.055018262699999994,
4NPHte,,
4PYRDX,,
5ADTSTSTERONEGLCte,,
5ADTSTSTERONEGLCtr,,
5ADTSTSTERONESte,,
5ADTSTSTERONESULT,2.8796e-06,
5ADTSTSTERONEte,,
5ADTSTSTERONEtr,,
5AOPtm,,
5DHFtl,,
5FTHFt2,,
5HLTDL,1.42e-08,
5HOMEPRAZOLEte,,
5HOXINDACTO2OX,1.0824500000000001e-05,
5HOXINDACTOXm,0.052506142,
5HOXINOXDA,0.044067500999999995,
5HTRPDOX,2.74348e-05,
5HTRPVESSEC,,
5HXKYNDCL,1.4299999999999999e-08,
5HXKYNOXDA,0.0065070641,
5MTHFt,,
5MTHFt2,,
5THFtl,,
5THFtm,,
6DHFtl,,
6DHFtm,,
6HTSTSTERONEte,,
6HTSTSTERONEtr,,
6THFtl,,
6THFtm,,
7DHCHSTEROLtr,,
7DHFtl,,
7DHFtm,,
7THFtl,,
7THFtm,,
A_MANASE,0.0040844803,
A_MANASEly,0.1936530688,
A4GALTc,9.36e-05,
A4GALTg,0.00028183689999999997,
A4GNT1g,4.23e-08,
A4GNT2g,,
AACTOOR,0.000348826,
AACTtm,,
AASAD3m,,
AATAi,0.0,0.0
ABO1g,7.2238999999999996e-06,
ABO2g,,
ABO3g,,
ABO4g,,
ABO5g,,
ABO6g,,
ABO7g,,
ABO8g,,
ABO9g,,
ABTArm,0.0058288465,0.8169504521
ABTD,,
ABTti,,
ABUTt2rL,,
ABUTt4_2_r,,
ACACT10m,0.1556272603,0.0110785507
ACACT1rm,0.0043306837,
ACACT1x,8.56524e-05,
ACACt2m,,
ACACT4p,0.008261136700000001,
ACACT5p,0.008261136700000001,
ACACT6p,0.008261136700000001,
ACACT7p,0.008261136700000001,
ACACT8p,0.008261136700000001,
ACACT9p,0.008261136700000001,
ACACtx,,
ACALDtm,,
ACALDtr,,
ACALDtx,,
