REACTION,FORWARD [mmol/gDW/hr],REVERSE [mmol/gDW/hr]
10FTHF5GLUtl,,
10FTHF5GLUtm,,
10FTHF6GLUtl,,
10FTHF6GLUtm,,
10FTHF7GLUtl,,
10FTHF7GLUtm,,
10FTHFtl,,
10FTHFtm,,
11DOCRTSLtm,,
11DOCRTSLtr,,
11DOCRTSTRNtm,,
11DOCRTSTRNtr,,
13DAMPPOX,18.631226788699998,
1a_24_25VITD2Hm,,
1a_24_25VITD3Hm,,
1a_25VITD2Hm,,
1a_25VITD3Hm,,
1MNCAMti,,
1PPDCRp,,
24_25DHVITD2t,,
24_25DHVITD2tm,,
24_25DHVITD3t,,
24_25DHVITD3tm,,
24_25VITD2Hm,,
24_25VITD3Hm,,
24NPHte,,
25HVITD2t,,
25HVITD2tin,,
25HVITD2tin_m,,
25HVITD2tm,,
25HVITD3t,,
25HVITD3tin_m,,
25HVITD3tm,,
25VITD2Hm,,
25VITD3Hm,,
2AMACHYD,,
2AMACSULT,,
2AMADPTm,,
2DR1PP,,
2HBO,19.7684033065,102.96558191
2HBt2,,
2HCO3_NAt,,
2MCITt,,
2OXOADOXm,0.9578615235,
2OXOADPTm,,
34DHOXPEGOX,1.6684188451,0.0078186687
34DHOXPEGt,,
34DHPHAMT,0.0007743851,
34DHPHEt,,
34DHPLACOX,0.014447018899999999,
34DHPLACOX_NADP_,0.009640779300000001,0.0082943637
34DHXMANDACOX,0.014434933600000002,
34DHXMANDACOX_NADP_,0.0095570472,0.0081826311
34HPLFM,,
34HPPOR,4.19464e-05,
35CGMPtn,,
3AIBTm,0.021400932200000004,0.0001526932
3AIBtmi,,
3DPHBH1,,
3DPHBH2,,
3DSPHR,0.0007722919999999999,
3HAO,0.0092250376,
3HBCDm,0.0124289646,0.0105628949
3HBCOAHLm,,
3HKYNAKGAT,0.0001143876,
3HLYTCL,1.08182e-05,
3HPCOAHYD,0.0186466379,
3HPPD,,
3HXKYNDCL,0.0021813297,
3HXKYNOXDA,0.0558536833,
3M4HDXPAC,0.014447018899999999,0.0179438292
3MLDAt,,
3MOBt2im,,
3MOPt2im,,
3MOX4HOXPGALDOX,0.014447018899999999,
3MOX4HOXPGALDOX_NADP_,0.0211526164,0.0179599201
3MOXTYROX,0.0558536833,
3NTD7l,0.051863433099999995,
3SALAASPm,,
3SALACBOXL,0.0011989534,
3SALAOX,,
3SALATAi,20.1748099737,
3SALATAim,7.0836720336,
3SPYRSP,,
3SPYRSPm,,
41R1H2MAE12BOOX,0.0558536833,
41R2A1H12BOOX,0.0558536833,
42A12BOOX,0.0476108253,
4ABUTtm,,
4HBZCOAFm,,
4HBZFm,,
4HDEBRISOQUINEte,,
4HGLSDm,0.0049891213,
4HOXPACDOX_NADP_,0.0211526164,0.018349218
4MOPt2im,,
4MPTNLte,,
4MPTNLtm,,
4MPTNLtr,,
4MTOLBUTAMIDEte,,
4NPHSFte,,
4NPHSULT,0.0249764323,
4NPHte,,
4PYRDX,,
5ADTSTSTERONEGLCte,,
5ADTSTSTERONEGLCtr,,
5ADTSTSTERONESte,,
5ADTSTSTERONESULT,2.8796e-06,
5ADTSTSTERONEte,,
5ADTSTSTERONEtr,,
5AOPtm,,
5DHFtl,,
5FTHFt2,,
5HLTDL,0.0001579543,
5HOMEPRAZOLEte,,
5HOXINDACTO2OX,2.526e-07,
5HOXINDACTOXm,0.0768942696,
5HOXINOXDA,0.37825541960000003,
5HTRPDOX,0.0029468665000000004,
5HTRPVESSEC,,
5HXKYNDCL,0.0001590058,
5HXKYNOXDA,0.0558536833,
5MTHFt,,
5MTHFt2,,
5THFtl,,
5THFtm,,
6DHFtl,,
6DHFtm,,
6HTSTSTERONEte,,
6HTSTSTERONEtr,,
6THFtl,,
6THFtm,,
7DHCHSTEROLtr,,
7DHFtl,,
7DHFtm,,
7THFtl,,
7THFtm,,
A_MANASE,0.0090036374,
A_MANASEly,0.2044104353,
A4GALTc,0.0006410278,
A4GALTg,0.0019301853,
A4GNT1g,5.899000000000001e-07,
A4GNT2g,,
AACTOOR,0.0017332285999999998,
AACTtm,,
AASAD3m,,
AATAi,0.0,0.0
ABO1g,0.0045531694,
ABO2g,,
ABO3g,,
ABO4g,,
ABO5g,,
ABO6g,,
ABO7g,,
ABO8g,,
ABO9g,,
ABTArm,0.0001526932,0.021400932200000004
ABTD,,
ABTti,,
ABUTt2rL,,
ABUTt4_2_r,,
ACACT10m,0.5597802099,0.0398487607
ACACT1rm,0.0151433402,
ACACT1x,0.00017771009999999998,
ACACt2m,,
ACACT4p,0.0060690064,
ACACT5p,0.0060690064,
ACACT6p,0.0060690064,
ACACT7p,0.0060690064,
ACACT8p,0.0060690064,
ACACT9p,0.0060690064,
ACACtx,,
ACALDtm,,
ACALDtr,,
ACALDtx,,
