REACTION,FORWARD [mmol/gDW/hr],REVERSE [mmol/gDW/hr]
10FTHF5GLUtl,,
10FTHF5GLUtm,,
10FTHF6GLUtl,,
10FTHF6GLUtm,,
10FTHF7GLUtl,,
10FTHF7GLUtm,,
10FTHFtl,,
10FTHFtm,,
11DOCRTSLtm,,
11DOCRTSLtr,,
11DOCRTSTRNtm,,
11DOCRTSTRNtr,,
13DAMPPOX,1.017286557,
1a_24_25VITD2Hm,,
1a_24_25VITD3Hm,,
1a_25VITD2Hm,,
1a_25VITD3Hm,,
1MNCAMti,,
1PPDCRp,,
24_25DHVITD2t,,
24_25DHVITD2tm,,
24_25DHVITD3t,,
24_25DHVITD3tm,,
24_25VITD2Hm,,
24_25VITD3Hm,,
24NPHte,,
25HVITD2t,,
25HVITD2tin,,
25HVITD2tin_m,,
25HVITD2tm,,
25HVITD3t,,
25HVITD3tin_m,,
25HVITD3tm,,
25VITD2Hm,,
25VITD3Hm,,
2AMACHYD,,
2AMACSULT,,
2AMADPTm,,
2DR1PP,,
2HBO,25.167041332399997,131.08489419010002
2HBt2,,
2HCO3_NAt,,
2MCITt,,
2OXOADOXm,0.9467053394,
2OXOADPTm,,
34DHOXPEGOX,1.6385754983,0.007678814599999999
34DHOXPEGt,,
34DHPHAMT,0.0031290818,
34DHPHEt,,
34DHPLACOX,0.11276842869999999,
34DHPLACOX_NADP_,0.1183160874,0.1017922542
34DHXMANDACOX,0.060472518899999994,
34DHXMANDACOX_NADP_,0.1182904377,0.1012788773
34HPLFM,,
34HPPOR,5.867e-07,
35CGMPtn,,
3AIBTm,0.0054347598,3.87764e-05
3AIBtmi,,
3DPHBH1,,
3DPHBH2,,
3DSPHR,0.0020040162,
3HAO,0.0001781837,
3HBCDm,0.0006414316,0.0005451278
3HBCOAHLm,,
3HKYNAKGAT,0.0001143876,
3HLYTCL,2.3100000000000002e-08,
3HPCOAHYD,0.004653292,
3HPPD,,
3HXKYNDCL,4.6619e-06,
3HXKYNOXDA,0.0253574248,
3M4HDXPAC,0.11276842869999999,0.1400633191
3MLDAt,,
3MOBt2im,,
3MOPt2im,,
3MOX4HOXPGALDOX,0.11276842869999999,
3MOX4HOXPGALDOX_NADP_,0.1651100013,0.14018891960000002
3MOXTYROX,0.0253574248,
3NTD7l,0.13675654310000002,
3SALAASPm,,
3SALACBOXL,6.41428e-05,
3SALAOX,,
3SALATAi,34.425167368800004,
3SALATAim,8.7832697884,
3SPYRSP,,
3SPYRSPm,,
41R1H2MAE12BOOX,0.0253574248,
41R2A1H12BOOX,0.0253574248,
42A12BOOX,0.021037104900000003,
4ABUTtm,,
4HBZCOAFm,,
4HBZFm,,
4HDEBRISOQUINEte,,
4HGLSDm,0.0032788948,
4HOXPACDOX_NADP_,0.1651100013,0.1432276439
4MOPt2im,,
4MPTNLte,,
4MPTNLtm,,
4MPTNLtr,,
4MTOLBUTAMIDEte,,
4NPHSFte,,
4NPHSULT,0.0120983824,
4NPHte,,
4PYRDX,,
5ADTSTSTERONEGLCte,,
5ADTSTSTERONEGLCtr,,
5ADTSTSTERONESte,,
5ADTSTSTERONESULT,2.8796e-06,
5ADTSTSTERONEte,,
5ADTSTSTERONEtr,,
5AOPtm,,
5DHFtl,,
5FTHFt2,,
5HLTDL,3.376e-07,
5HOMEPRAZOLEte,,
5HOXINDACTO2OX,1.6230000000000002e-07,
5HOXINDACTOXm,0.0980952943,
5HOXINOXDA,0.17172696210000002,
5HTRPDOX,6.06676e-05,
5HTRPVESSEC,,
5HXKYNDCL,3.3979999999999996e-07,
5HXKYNOXDA,0.0253574248,
5MTHFt,,
5MTHFt2,,
5THFtl,,
5THFtm,,
6DHFtl,,
6DHFtm,,
6HTSTSTERONEte,,
6HTSTSTERONEtr,,
6THFtl,,
6THFtm,,
7DHCHSTEROLtr,,
7DHFtl,,
7DHFtm,,
7THFtl,,
7THFtm,,
A_MANASE,0.0042615959999999994,
A_MANASEly,0.3886681626,
A4GALTc,4.6523e-06,
A4GALTg,1.40084e-05,
A4GNT1g,6.64e-08,
A4GNT2g,,
AACTOOR,8.078e-05,
AACTtm,,
AASAD3m,,
AATAi,0.0,0.0
ABO1g,5.297e-06,
ABO2g,,
ABO3g,,
ABO4g,,
ABO5g,,
ABO6g,,
ABO7g,,
ABO8g,,
ABO9g,,
ABTArm,3.87764e-05,0.0054347598
ABTD,,
ABTti,,
ABUTt2rL,,
ABUTt4_2_r,,
ACACT10m,0.1384211522,0.0098537091
ACACT1rm,0.0037247028,
ACACT1x,0.0006449368,
ACACt2m,,
ACACT4p,0.0025800938,
ACACT5p,0.0025800938,
ACACT6p,0.0025800938,
ACACT7p,0.0025800938,
ACACT8p,0.0025800938,
ACACT9p,0.0025800938,
ACACtx,,
ACALDtm,,
ACALDtr,,
ACALDtx,,
