REACTION,FORWARD [mmol/gDW/hr],REVERSE [mmol/gDW/hr]
10FTHF5GLUtl,,
10FTHF5GLUtm,,
10FTHF6GLUtl,,
10FTHF6GLUtm,,
10FTHF7GLUtl,,
10FTHF7GLUtm,,
10FTHFtl,,
10FTHFtm,,
11DOCRTSLtm,,
11DOCRTSLtr,,
11DOCRTSTRNtm,,
11DOCRTSTRNtr,,
13DAMPPOX,4.4459770583,
1a_24_25VITD2Hm,,
1a_24_25VITD3Hm,,
1a_25VITD2Hm,,
1a_25VITD3Hm,,
1MNCAMti,,
1PPDCRp,,
24_25DHVITD2t,,
24_25DHVITD2tm,,
24_25DHVITD3t,,
24_25DHVITD3tm,,
24_25VITD2Hm,,
24_25VITD3Hm,,
24NPHte,,
25HVITD2t,,
25HVITD2tin,,
25HVITD2tin_m,,
25HVITD2tm,,
25HVITD3t,,
25HVITD3tin_m,,
25HVITD3tm,,
25VITD2Hm,,
25VITD3Hm,,
2AMACHYD,,
2AMACSULT,,
2AMADPTm,,
2DR1PP,,
2HBO,14.734226148800001,76.74459822989999
2HBt2,,
2HCO3_NAt,,
2MCITt,,
2OXOADOXm,0.995980449,
2OXOADPTm,,
34DHOXPEGOX,1.2153211425,0.0056953285
34DHOXPEGt,,
34DHPHAMT,0.0026369391999999997,
34DHPHEt,,
34DHPLACOX,0.0803406936,
34DHPLACOX_NADP_,0.0964454691,0.082976051
34DHXMANDACOX,0.015180755700000001,
34DHXMANDACOX_NADP_,0.0964448575,0.0825749492
34HPLFM,,
34HPPOR,9.118229999999999e-05,
35CGMPtn,,
3AIBTm,0.151573955,0.0010814625
3AIBtmi,,
3DPHBH1,,
3DPHBH2,,
3DSPHR,0.0007234444,
3HAO,0.0004535495,
3HBCDm,0.002302879,0.0019571276
3HBCOAHLm,,
3HKYNAKGAT,0.0001143876,
3HLYTCL,5.7e-09,
3HPCOAHYD,0.0078426656,
3HPPD,,
3HXKYNDCL,1.1413e-06,
3HXKYNOXDA,0.0007885243,
3M4HDXPAC,0.0803406936,0.0997866542
3MLDAt,,
3MOBt2im,,
3MOPt2im,,
3MOX4HOXPGALDOX,0.0803406936,
3MOX4HOXPGALDOX_NADP_,0.1176309023,0.09987613699999999
3MOXTYROX,0.0007885243,
3NTD7l,0.031096674700000004,
3SALAASPm,,
3SALACBOXL,0.00045087160000000003,
3SALAOX,,
3SALATAi,36.9524784415,
3SALATAim,6.3340869221,
3SPYRSP,,
3SPYRSPm,,
41R1H2MAE12BOOX,0.0007885243,
41R2A1H12BOOX,0.0007885243,
42A12BOOX,0.0009971129,
4ABUTtm,,
4HBZCOAFm,,
4HBZFm,,
4HDEBRISOQUINEte,,
4HGLSDm,0.0051449117,
4HOXPACDOX_NADP_,0.1176309023,0.1020410445
4MOPt2im,,
4MPTNLte,,
4MPTNLtm,,
4MPTNLtr,,
4MTOLBUTAMIDEte,,
4NPHSFte,,
4NPHSULT,0.9036595103,
4NPHte,,
4PYRDX,,
5ADTSTSTERONEGLCte,,
5ADTSTSTERONEGLCtr,,
5ADTSTSTERONESte,,
5ADTSTSTERONESULT,1.7555000000000002e-06,
5ADTSTSTERONEte,,
5ADTSTSTERONEtr,,
5AOPtm,,
5DHFtl,,
5FTHFt2,,
5HLTDL,8.26e-08,
5HOMEPRAZOLEte,,
5HOXINDACTO2OX,4.69e-08,
5HOXINDACTOXm,0.163917705,
5HOXINOXDA,0.0053400881,
5HTRPDOX,4.1267100000000003e-05,
5HTRPVESSEC,,
5HXKYNDCL,8.32e-08,
5HXKYNOXDA,0.0007885243,
5MTHFt,,
5MTHFt2,,
5THFtl,,
5THFtm,,
6DHFtl,,
6DHFtm,,
6HTSTSTERONEte,,
6HTSTSTERONEtr,,
6THFtl,,
6THFtm,,
7DHCHSTEROLtr,,
7DHFtl,,
7DHFtm,,
7THFtl,,
7THFtm,,
A_MANASE,0.0018458776,
A_MANASEly,0.1044744541,
A4GALTc,3.47761e-05,
A4GALTg,0.0001047137,
A4GNT1g,2.1582e-06,
A4GNT2g,,
AACTOOR,0.0004103097,
AACTtm,,
AASAD3m,,
AATAi,0.0,0.0
ABO1g,6.8832000000000004e-06,
ABO2g,,
ABO3g,,
ABO4g,,
ABO5g,,
ABO6g,,
ABO7g,,
ABO8g,,
ABO9g,,
ABTArm,0.0010814625,0.151573955
ABTD,,
ABTti,,
ABUTt2rL,,
ABUTt4_2_r,,
ACACT10m,0.15353838150000002,0.010929850900000001
ACACT1rm,0.0050702083,
ACACT1x,0.0001476804,
ACACt2m,,
ACACT4p,0.0035394695,
ACACT5p,0.0035394695,
ACACT6p,0.0035394695,
ACACT7p,0.0035394695,
ACACT8p,0.0035394695,
ACACT9p,0.0035394695,
ACACtx,,
ACALDtm,,
ACALDtr,,
ACALDtx,,
ACCOACm,3.2927e-06,
