REACTION,FORWARD [mmol/gDW/hr],REVERSE [mmol/gDW/hr]
10FTHF5GLUtl,,
10FTHF5GLUtm,,
10FTHF6GLUtl,,
10FTHF6GLUtm,,
10FTHF7GLUtl,,
10FTHF7GLUtm,,
10FTHFtl,,
10FTHFtm,,
11DOCRTSLtm,,
11DOCRTSLtr,,
11DOCRTSTRNtm,,
11DOCRTSTRNtr,,
13DAMPPOX,1.4821015565,
1a_24_25VITD2Hm,,
1a_24_25VITD3Hm,,
1a_25VITD2Hm,,
1a_25VITD3Hm,,
1MNCAMti,,
1PPDCRp,,
24_25DHVITD2t,,
24_25DHVITD2tm,,
24_25DHVITD3t,,
24_25DHVITD3tm,,
24_25VITD2Hm,,
24_25VITD3Hm,,
24NPHte,,
25HVITD2t,,
25HVITD2tin,,
25HVITD2tin_m,,
25HVITD2tm,,
25HVITD3t,,
25HVITD3tin_m,,
25HVITD3tm,,
25VITD2Hm,,
25VITD3Hm,,
2AMACHYD,,
2AMACSULT,,
2AMADPTm,,
2DR1PP,,
2HBO,4.2764700887,22.274395375900003
2HBt2,,
2HCO3_NAt,,
2MCITt,,
2OXOADOXm,0.7093159641,
2OXOADPTm,,
34DHOXPEGOX,1.989121884,0.0093215712
34DHOXPEGt,,
34DHPHAMT,0.0015339252999999999,
34DHPHEt,,
34DHPLACOX,0.022305324900000003,
34DHPLACOX_NADP_,0.021604855699999998,0.018587556499999998
34DHXMANDACOX,0.0097906521,
34DHXMANDACOX_NADP_,0.0211200415,0.0180827304
34HPLFM,,
34HPPOR,3.1763999999999998e-06,
35CGMPtn,,
3AIBTm,0.027255379500000003,0.00019446400000000001
3AIBtmi,,
3DPHBH1,,
3DPHBH2,,
3DSPHR,0.0004658983,
3HAO,0.0044245102000000005,
3HBCDm,0.0055379224,0.0047064654
3HBCOAHLm,,
3HKYNAKGAT,0.0001143876,
3HLYTCL,5.4771000000000005e-06,
3HPCOAHYD,0.0076953711,
3HPPD,,
3HXKYNDCL,0.0011043803,
3HXKYNOXDA,0.0272458046,
3M4HDXPAC,0.022305324900000003,0.027704188799999998
3MLDAt,,
3MOBt2im,,
3MOPt2im,,
3MOX4HOXPGALDOX,0.022305324900000003,
3MOX4HOXPGALDOX_NADP_,0.0326583625,0.0277290323
3MOXTYROX,0.0272458046,
3NTD7l,0.0678047065,
3SALAASPm,,
3SALACBOXL,0.019003543600000002,
3SALAOX,,
3SALATAi,12.5288870153,
3SALATAim,6.1714388939,
3SPYRSP,,
3SPYRSPm,,
41R1H2MAE12BOOX,0.0272458046,
41R2A1H12BOOX,0.0272458046,
42A12BOOX,0.0226339729,
4ABUTtm,,
4HBZCOAFm,,
4HBZFm,,
4HDEBRISOQUINEte,,
4HGLSDm,0.0012567509,
4HOXPACDOX_NADP_,0.0326583625,0.0283300847
4MOPt2im,,
4MPTNLte,,
4MPTNLtm,,
4MPTNLtr,,
4MTOLBUTAMIDEte,,
4NPHSFte,,
4NPHSULT,0.0188659172,
4NPHte,,
4PYRDX,,
5ADTSTSTERONEGLCte,,
5ADTSTSTERONEGLCtr,,
5ADTSTSTERONESte,,
5ADTSTSTERONESULT,2.8796e-06,
5ADTSTSTERONEte,,
5ADTSTSTERONEtr,,
5AOPtm,,
5DHFtl,,
5FTHFt2,,
5HLTDL,7.99703e-05,
5HOMEPRAZOLEte,,
5HOXINDACTO2OX,2.5383000000000003e-06,
5HOXINDACTOXm,0.10128116050000001,
5HOXINOXDA,0.18451555260000002,
5HTRPDOX,0.0086878047,
5HTRPVESSEC,,
5HXKYNDCL,8.05027e-05,
5HXKYNOXDA,0.0272458046,
5MTHFt,,
5MTHFt2,,
5THFtl,,
5THFtm,,
6DHFtl,,
6DHFtm,,
6HTSTSTERONEte,,
6HTSTSTERONEtr,,
6THFtl,,
6THFtm,,
7DHCHSTEROLtr,,
7DHFtl,,
7DHFtm,,
7THFtl,,
7THFtm,,
A_MANASE,0.0056233314,
A_MANASEly,0.2699608043,
A4GALTc,0.0002016257,
A4GALTg,0.000607111,
A4GNT1g,2.1582e-06,
A4GNT2g,,
AACTOOR,0.0001230512,
AACTtm,,
AASAD3m,,
AATAi,0.0,0.0
ABO1g,0.0009606152999999999,
ABO2g,,
ABO3g,,
ABO4g,,
ABO5g,,
ABO6g,,
ABO7g,,
ABO8g,,
ABO9g,,
ABTArm,0.00019446400000000001,0.027255379500000003
ABTD,,
ABTti,,
ABUTt2rL,,
ABUTt4_2_r,,
ACACT10m,0.1279885277,0.0091110477
ACACT1rm,0.0031289358,
ACACT1x,0.00017855520000000001,
ACACt2m,,
ACACT4p,0.0066506158,
ACACT5p,0.0066506158,
ACACT6p,0.0066506158,
ACACT7p,0.0066506158,
ACACT8p,0.0066506158,
ACACT9p,0.0066506158,
ACACtx,,
ACALDtm,,
ACALDtr,,
